angle,v0,r,ymax,age,batchId,fitness,iteration,accepted,conv_objective,ConstraintEvaluation_impConstr1
57.9946119462,118.007651872,1277.3040173,510.921510778,0.0,2.0,250.933420596,1.0,accepted,0.0,-260.921510778
27.1609474956,114.06390387,1078.42586402,138.32668556,0.0,2.0,1078.42586402,1.0,accepted,0.0,111.67331444
15.8304213944,139.603705718,1043.84537242,73.9942923577,0.0,2.0,1043.84537242,1.0,accepted,0.0,176.005707642
11.3388287477,118.007651872,547.861480402,27.464920777,0.0,2.0,547.861480402,1.0,accepted,0.0,222.535079223
15.8304213944,119.268060021,761.887042367,54.007321435,0.0,2.0,761.887042367,1.0,accepted,0.0,195.992678565
74.7323596081,118.007651872,721.966111208,661.232956957,0.0,2.0,100.621974417,1.0,accepted,0.0,-411.232956957
15.8304213944,121.393997902,789.290191461,55.949828131,0.0,2.0,789.290191461,1.0,accepted,0.0,194.050171869
31.7600738319,118.007651872,1271.92514639,196.850116371,0.0,2.0,1271.92514639,1.0,accepted,0.0,53.1498836288
24.2638042428,114.14404739,996.142932638,112.25460102,0.0,2.0,996.142932638,1.0,accepted,0.0,137.74539898
74.1244744857,157.495460682,1331.94169916,1170.85241551,0.0,2.0,-408.99748414,1.0,accepted,0.0,-920.852415514
24.2638042428,157.495460682,1896.49282684,213.714356284,0.0,2.0,1896.49282684,1.0,accepted,0.0,36.2856437162
57.9946119462,140.108164225,1800.53192399,720.212634067,0.0,2.0,41.6422973066,1.0,accepted,0.0,-470.212634067
24.2638042428,114.06390387,994.744587712,112.097022578,0.0,2.0,994.744587712,1.0,accepted,0.0,137.902977422
27.1609474956,157.495460682,2056.03221235,263.721532306,0.0,2.0,498.133399068,1.0,accepted,0.0,-13.7215323062
24.2638042428,157.495460682,1896.49282684,213.714356284,0.0,2.0,1896.49282684,1.0,accepted,0.0,36.2856437162
11.3388287477,139.603705718,766.733294239,38.4372143994,0.0,2.0,766.733294239,1.0,accepted,0.0,211.562785601
24.2638042428,119.268060021,1087.58555952,122.559202158,0.0,2.0,1087.58555952,1.0,accepted,0.0,127.440797842
74.7323596081,157.495460682,1285.97509261,1177.79643651,0.0,2.0,-415.941505134,1.0,accepted,0.0,-927.796436508
24.2638042428,121.393997902,1126.70326015,126.967346545,0.0,2.0,1126.70326015,1.0,accepted,0.0,123.032653455
31.7600738319,157.495460682,2265.56902399,350.631896291,0.0,2.0,411.223035083,1.0,accepted,0.0,-100.631896291
74.1244744857,140.108164225,1054.08593603,926.601415911,0.0,2.0,-164.746484537,1.0,accepted,0.0,-676.601415911
57.9946119462,114.14404739,1195.03459106,478.013746471,0.0,2.0,283.841184903,1.0,accepted,0.0,-228.013746471
74.1244744857,114.14404739,699.609453581,614.996451538,0.0,2.0,146.858479836,1.0,accepted,0.0,-364.996451538
74.1244744857,139.603705718,1046.50914202,919.940983569,0.0,2.0,-158.086052195,1.0,accepted,0.0,-669.940983569
11.3388287477,114.14404739,512.574462553,25.695942332,0.0,2.0,512.574462553,1.0,accepted,0.0,224.304057668
74.1244744857,119.268060021,763.831287746,671.451091939,0.0,2.0,90.4038394351,1.0,accepted,0.0,-421.451091939
74.7323596081,114.14404739,675.465249287,618.643835456,0.0,2.0,143.211095918,1.0,accepted,0.0,-368.643835456
74.1244744857,121.393997902,791.304366426,695.601488727,0.0,2.0,66.2534426468,1.0,accepted,0.0,-445.601488727
31.7600738319,114.14404739,1190.00216595,184.1712663,0.0,2.0,1190.00216595,1.0,accepted,0.0,65.8287337002
57.9946119462,140.108164225,1800.53192399,720.212634067,0.0,2.0,41.6422973066,1.0,accepted,0.0,-470.212634067
57.9946119462,140.108164225,1800.53192399,720.212634067,0.0,2.0,41.6422973066,1.0,accepted,0.0,-470.212634067
27.0206400245,146.370285453,1769.55705342,225.609363489,0.0,2.0,1769.55705342,1.0,accepted,0.0,24.3906365108
74.7323596081,140.108164225,1017.70840274,932.096847786,0.0,2.0,-170.241916412,1.0,accepted,0.0,-682.096847786
57.9946119462,121.393997902,1351.6628243,540.665027977,0.0,2.0,221.189903397,1.0,accepted,0.0,-290.665027977
31.7600738319,140.108164225,1792.94968149,277.486732967,0.0,2.0,484.368198407,1.0,accepted,0.0,-27.4867329668
50.2613779635,119.390829059,1430.04590594,430.034502586,0.0,2.0,331.820428788,1.0,accepted,0.0,-180.034502586
11.3388287477,114.06390387,511.854931374,25.6598714135,0.0,2.0,511.854931374,1.0,accepted,0.0,224.340128587
27.1609474956,119.268060021,1179.07693211,151.236918068,0.0,2.0,1179.07693211,1.0,accepted,0.0,98.763081932
74.7323596081,114.06390387,674.517058647,617.775408406,0.0,2.0,144.079522968,1.0,accepted,0.0,-367.775408406
29.450283317,119.390829059,1245.45402631,175.804511666,0.0,2.0,1245.45402631,1.0,accepted,0.0,74.1954883345
31.7600738319,114.06390387,1188.33168932,183.912734168,0.0,2.0,1188.33168932,1.0,accepted,0.0,66.0872658318
11.3388287477,119.268060021,559.627103084,28.0547448592,0.0,2.0,559.627103084,1.0,accepted,0.0,221.945255141
50.2613779635,161.015814657,2601.02849703,782.165097839,0.0,2.0,-20.310166465,1.0,accepted,0.0,-532.165097839
11.3388287477,121.393997902,579.755473944,29.0638030442,0.0,2.0,579.755473944,1.0,accepted,0.0,220.936196956
31.7600738319,139.603705718,1780.06191784,275.492151932,0.0,2.0,486.362779442,1.0,accepted,0.0,-25.4921519323
