v0,angle,r,varsUpdate
30.0,45.0,91.8367346939,0.0
31.4948297909,38.2677199161,98.4347348145,1.0
32.7402051565,42.0669937571,108.80694344,2.0
33.0617630392,39.7569883581,109.676021125,3.0
34.1326899427,40.7687120036,117.587325659,4.0
35.9752121742,39.883994928,129.962587221,5.0
38.3173775686,42.1905968714,149.098682109,6.0
42.6628736214,40.6480606919,183.587717197,7.0
46.3383130479,32.0629449237,197.141774429,8.0
49.8867087804,38.0969818542,246.610562329,9.0
56.5202521611,50.6234969391,319.713207067,10.0
56.5202521611,50.6234969391,319.713207067,11.0
58.6768007772,52.1600900648,340.407082382,12.0
60.0,50.2151021956,361.276960621,13.0
60.0,50.0413815645,361.673593264,14.0
60.0,49.7123428401,362.388380194,15.0
60.0,49.7123428401,362.388380194,16.0
60.0,49.7123428401,362.388380194,17.0
60.0,49.7123428401,362.388380194,18.0
60.0,49.7123428401,362.388380194,19.0
60.0,48.1258518786,365.162363448,20.0
60.0,48.1258518786,365.162363448,21.0
60.0,48.1258518786,365.162363448,22.0
60.0,48.1258518786,365.162363448,23.0
60.0,48.1258518786,365.162363448,24.0
60.0,48.1258518786,365.162363448,25.0
60.0,46.5832877814,366.786058291,26.0
60.0,46.5832877814,366.786058291,27.0
60.0,46.5832877814,366.786058291,28.0
60.0,46.5832877814,366.786058291,29.0
60.0,46.5832877814,366.786058291,30.0
60.0,46.5832877814,366.786058291,31.0
60.0,46.5832877814,366.786058291,32.0
60.0,46.5832877814,366.786058291,33.0
60.0,46.5832877814,366.786058291,34.0
60.0,45.1007029082,367.344669199,35.0
60.0,45.1007029082,367.344669199,36.0
60.0,45.1007029082,367.344669199,37.0
60.0,45.0470186244,367.346444008,38.0
