time,Functions|power_history|scale_factor,Materials|clad_solid_mechanics|clad_solid_mechanics|youngs_modulus,_dt,ave_temp_interior,avg_clad_temp,clad_inner_vol,fis_gas_boundary,fis_gas_grain,fis_gas_produced,fis_gas_released,flux_from_clad,flux_from_fuel,gas_volume,initial_moles,max_stress,maximum_stress_criteria,nonlinear_its,pellet_volume,plenumTemp,plenum_pressure,rod_input_power,rod_total_power
-200,1.00888026972,76214429057.6,0,580,580,8.7824915257576e-06,0,0,0,0,3.7938812530874e-12,-1.074579191782e-11,1.8928764205147e-06,0,0,500000,0,-6.8896151052429e-06,579.98196056921,0,0,0
0,1.00888026972,76214429057.6,200,580.00000030858,579.99999983961,8.8200898777972e-06,0,0,0,0,0.00016438151909482,2.3588000678296e-05,1.8766920726274e-06,0,293404.66779505,500000,3,-6.9433978051698e-06,579.94885873152,0,0,0
400,1.00888026972,76214429057.6,400,712.71356118883,581.59595503036,8.8202327874219e-06,7.0479440661949e-15,3.7473689431888e-10,3.7474394226295e-10,0,-102.17088355804,99.343293646955,1.8132784719311e-06,0,21772796.560333,500000,7,-7.0069543154908e-06,626.55851683418,0,119.65319998879,119.67957681445
800,1.00888026972,76214429057.6,400,785.50620165246,583.56861615325,8.8204090531978e-06,1.0061815705597e-13,1.4988751539086e-09,1.4989757720657e-09,0,-229.15209751614,222.56472559725,1.7777274787096e-06,0,57530.48145288,500000,5,-7.0426815744882e-06,652.10732572175,0,239.30639997758,239.35915459144
1200,1.00888026972,76214429057.6,400,833.00434300422,585.46960634475,8.8205790701037e-06,4.740195358084e-13,3.3722214804212e-09,3.372695499957e-09,0,-351.48723117452,341.56242038444,1.7535793901728e-06,0,20371596.113708,500000,4,-7.0669996799309e-06,670.51572259601,0,358.95959996638,359.03873477476

