v0,angle,r,t,ProbabilityWeight,ProbabilityWeight-v0,ProbabilityWeight-angle,prefix,PointProbability
17.225,13.0,13.2719380851,0.790771818586,0.0328125,0.175,0.1875,2,0.00021186440678
6.9,13.0,2.1296786019,0.316767811219,0.03515625,0.1875,0.1875,1,0.00021186440678
37.875,13.0,64.1683938386,1.73877983332,0.0328125,0.175,0.1875,4,0.00021186440678
27.55,13.0,33.9515098307,1.26477582595,0.0328125,0.175,0.1875,3,0.00021186440678
48.2,13.0,103.922590109,2.21278384069,0.05390625,0.2875,0.1875,5,0.00021186440678
6.9,27.0,3.93033664308,0.639292744531,0.0328125,0.1875,0.175,6,0.00021186440678
27.55,27.0,62.6577470687,2.55253842201,0.030625,0.175,0.175,8,0.00021186440678
17.225,27.0,24.4934538639,1.59591558327,0.030625,0.175,0.175,7,0.00021186440678
37.875,27.0,118.423216257,3.50916126074,0.030625,0.175,0.175,9,0.00021186440678
48.2,27.0,191.78986143,4.46578409948,0.0503125,0.2875,0.175,10,0.00021186440678
6.9,41.0,4.81088395437,0.923838224497,0.0328125,0.1875,0.175,11,0.00021186440678
17.225,41.0,29.9809341748,2.3062483213,0.030625,0.175,0.175,12,0.00021186440678
27.55,41.0,76.6955040658,3.6886584181,0.030625,0.175,0.175,13,0.00021186440678
37.875,41.0,144.954593627,5.0710685149,0.030625,0.175,0.175,14,0.00021186440678
48.2,41.0,234.75820286,6.4534786117,0.0503125,0.2875,0.175,15,0.00021186440678
6.9,55.0,4.56518017098,1.15349981747,0.0328125,0.1875,0.175,16,0.00021186440678
17.225,55.0,28.4497334587,2.87957019651,0.030625,0.175,0.175,17,0.00021186440678
27.55,55.0,72.7784743274,4.60564057554,0.030625,0.175,0.175,18,0.00021186440678
37.875,55.0,137.551402777,6.33171095458,0.030625,0.175,0.175,19,0.00021186440678
48.2,55.0,222.768518808,8.05778133362,0.0503125,0.2875,0.175,20,0.00021186440678
6.9,69.0,3.2507457315,1.3146336618,0.05390625,0.1875,0.2875,21,0.00021186440678
17.225,69.0,20.2583131748,3.28182098906,0.0503125,0.175,0.2875,22,0.00021186440678
27.55,69.0,51.8236533727,5.24900831633,0.0503125,0.175,0.2875,23,0.00021186440678
37.875,69.0,97.9467663253,7.21619564359,0.0503125,0.175,0.2875,24,0.00021186440678
48.2,69.0,158.627652032,9.18338297085,0.08265625,0.2875,0.2875,25,0.00021186440678
