v0,angle,r,t,ProbabilityWeight-angle,ProbabilityWeight,ProbabilityWeight-v0,prefix,PointProbability
32.3427947696,53.6035880932,101.96288456,5.31300342457,1.0,1.0,1.0,31,0.000893667454378
29.3779995804,18.6419300022,53.3484782792,1.91648169557,1.0,1.0,1.0,32,0.000989668251239
18.9081721065,10.2041275439,12.7213672455,0.683610069643,1.0,1.0,1.0,33,8.51602314024e-05
37.867642566,80.9108424922,45.6489457066,7.63105424175,1.0,1.0,1.0,34,0.000289197974582
30.7965568066,82.2505628311,25.8610590955,6.22761197766,1.0,1.0,1.0,35,0.000984779169592
28.5435727364,69.6717879513,54.1650839922,5.46241259516,1.0,1.0,1.0,36,0.000955929217626
19.2737281497,29.369101679,32.4020477545,1.9290793514,1.0,1.0,1.0,37,9.98879763458e-05
26.3204678315,12.8137693572,30.5750010516,1.1913118568,1.0,1.0,1.0,38,0.000760767915338
26.484961398,59.738642344,62.3112922364,4.66857238968,1.0,1.0,1.0,39,0.000778989486932
32.3842218254,40.2121993609,105.523032811,4.26692061293,1.0,1.0,1.0,40,0.000890174226246
31.3965516046,14.763058538,49.5708497099,1.63276386048,1.0,1.0,1.0,41,0.000959200715805
34.8343385202,44.614152843,123.808273629,4.99289042144,1.0,1.0,1.0,42,0.000624962031999
25.2952384062,7.75108184729,17.4505627313,0.696236670797,1.0,1.0,1.0,43,0.000640604232707
28.6172210724,77.7456321923,34.6657871279,5.70717870442,1.0,1.0,1.0,44,0.000959935338438
25.4656181061,25.7023984801,51.71919432,2.25395044858,1.0,1.0,1.0,45,0.000661093375894
33.457294646,58.0017824408,102.660310411,5.79060134156,1.0,1.0,1.0,46,0.000785287389668
29.0563966791,29.9368858582,74.5133786753,2.95927971478,1.0,1.0,1.0,47,0.000979752249536
25.9320801792,46.6054416731,68.5119485942,3.84556832004,1.0,1.0,1.0,48,0.000716335078544
30.8526118362,48.7368221869,96.3058380337,4.73296784124,1.0,1.0,1.0,49,0.000982960109334
20.6908332308,19.788356818,27.8320271814,1.42955380069,1.0,1.0,1.0,50,0.000176248645918
35.0194622712,82.566770296,32.1065567222,7.08676921574,1.0,1.0,1.0,51,0.000602572173242
29.3685871825,67.0106260809,63.2875822035,5.51756219822,1.0,1.0,1.0,52,0.000989434764106
28.6703976715,80.1599151257,28.2471067516,5.76502353283,1.0,1.0,1.0,53,0.000962708465854
37.2567526864,76.5861880387,63.9229471573,7.39599752456,1.0,1.0,1.0,54,0.000347894156882
33.022915732,52.8319981247,107.144189173,5.37038500283,1.0,1.0,1.0,55,0.000830765103136
27.7525730353,78.7499389038,30.0761560447,5.55496109243,1.0,1.0,1.0,56,0.000901526031886
30.8875230289,12.0793999562,39.8425258021,1.31913045655,1.0,1.0,1.0,57,0.000981766534436
30.2612376083,20.6786290965,61.7427336472,2.18082182267,1.0,1.0,1.0,58,0.000995995337045
38.8222590413,8.61818298782,45.5709579479,1.18724109828,1.0,1.0,1.0,59,0.000210284712402
35.0663386307,31.0264260941,110.841518946,3.68864508424,1.0,1.0,1.0,60,0.000596901277403
33.3304014828,36.0941830164,107.925150747,4.0072279379,1.0,1.0,1.0,61,0.000798932128758
30.4982906602,26.7079225419,76.2133252964,2.79739362344,1.0,1.0,1.0,62,0.000992415237619
31.0959781273,71.2990007704,59.9321272862,6.01107269448,1.0,1.0,1.0,63,0.000973681371891
39.0761237385,33.5402660325,143.509801007,4.40621480453,1.0,1.0,1.0,64,0.00019201760016
31.3579876435,27.4747609213,82.1422604422,2.95250067587,1.0,1.0,1.0,65,0.00096124072209
27.0261585577,48.4156870012,74.002826001,4.1255146365,1.0,1.0,1.0,66,0.00083566918176
27.3242563272,16.273937973,40.987955274,1.5626691728,1.0,1.0,1.0,67,0.000864296078541
25.1348046317,69.1757586375,42.8408749572,4.79446577865,1.0,1.0,1.0,68,0.000621232220585
19.2320799888,10.9640514865,14.094528913,0.746491479032,1.0,1.0,1.0,69,9.81155092391e-05
29.0340039271,83.9509548058,18.0281018319,5.89231513872,1.0,1.0,1.0,70,0.000978914700377
28.6669083014,66.7795817512,60.7675659182,5.37647802898,1.0,1.0,1.0,71,0.000962529589581
27.2838855826,20.8972545564,50.624543538,1.98611783696,1.0,1.0,1.0,72,0.000860541572995
19.0247246231,5.44176979001,6.97338003176,0.36820247497,1.0,1.0,1.0,73,8.96554585605e-05
25.7711835309,70.2369143593,43.1314157048,4.94963883176,1.0,1.0,1.0,74,0.000697463165553
32.7865466531,61.548587395,91.8919470428,5.88298663261,1.0,1.0,1.0,75,0.000853897046996
34.0351523452,63.3205730231,94.8449783859,6.20643273975,1.0,1.0,1.0,76,0.000720149182649
31.3440230919,66.7016273881,72.8350334652,5.87513402396,1.0,1.0,1.0,77,0.000961966393648
37.2439140882,10.9235716625,52.6721678156,1.44034687059,1.0,1.0,1.0,78,0.000349191908204
31.9411492926,33.6772580139,96.0797650604,3.6146570707,1.0,1.0,1.0,79,0.000924956090009
36.8597235777,14.2695243678,66.2347141624,1.85414608621,1.0,1.0,1.0,80,0.000389160294322
35.1829942488,74.0482736912,66.7537819706,6.9037190623,1.0,1.0,1.0,81,0.000582796978576
29.364753309,54.8638500203,82.8243697918,4.90083807238,1.0,1.0,1.0,82,0.000989338670667
23.4592174865,31.4718419561,50.0108328114,2.49950527726,1.0,1.0,1.0,83,0.000423888631793
28.3515652159,10.0846680824,28.2806948169,1.01315344861,1.0,1.0,1.0,84,0.00094459922112
32.1835788866,29.8785857542,91.3072673442,3.27197772166,1.0,1.0,1.0,85,0.000906641526912
32.1434056462,31.0146657997,93.1130968618,3.38002646575,1.0,1.0,1.0,86,0.000909799023994
31.1544231691,63.3684939654,79.3701307078,5.68350705255,1.0,1.0,1.0,87,0.000971123472729
27.0070294344,56.0045976869,69.0025679257,4.56960284079,1.0,1.0,1.0,88,0.000833763693861
30.7706124598,75.9770195724,45.4265824824,6.09257258345,1.0,1.0,1.0,89,0.00098558030161
28.5109864681,42.7771937935,82.6970100132,3.95167622109,1.0,1.0,1.0,90,0.000954095958374
39.5328685239,14.5675391726,77.6432687194,2.02925492794,1.0,1.0,1.0,91,0.00016199991844
35.1589301884,62.0595827273,104.426042175,6.3389063152,1.0,1.0,1.0,92,0.000585705008212
32.9399354085,65.8628034733,82.6335848781,6.13468581426,1.0,1.0,1.0,93,0.000839027156404
26.4036115426,49.902176141,70.0988564238,4.12190478838,1.0,1.0,1.0,94,0.000770028308861
26.7224282032,66.6773748169,52.9822150198,5.00794728009,1.0,1.0,1.0,95,0.000804529745779
21.2716175748,44.503647806,46.1646735667,3.0429468853,1.0,1.0,1.0,96,0.000217329423362
32.7766115603,46.8186260857,109.402273726,4.87763556899,1.0,1.0,1.0,97,0.000854841475109
23.8909786435,39.2032816713,57.0544886079,3.08180795204,1.0,1.0,1.0,98,0.000472815211578
29.2367418985,7.03353004577,21.2002356689,0.730621228513,1.0,1.0,1.0,99,0.000985802686103
36.288879646,7.5143348804,34.8439585285,0.968500123361,1.0,1.0,1.0,101,0.000452192210368
29.6911151853,55.9128327414,83.5072844598,5.01831886176,1.0,1.0,1.0,102,0.000995454364909
30.7963963631,30.1484785101,84.0613093011,3.15658393293,1.0,1.0,1.0,103,0.000984784203381
25.8225192405,13.6313142648,31.1675634985,1.24197511872,1.0,1.0,1.0,100,0.000703508928302
32.5577367687,45.6856554655,108.132922012,4.75421265805,1.0,1.0,1.0,104,0.000875037839082
24.5833605149,77.6053183881,25.8561731605,4.90007686258,1.0,1.0,1.0,105,0.000554633653176
31.3239889174,24.9433783861,76.5702931999,2.69592411245,1.0,1.0,1.0,106,0.000962995312881
30.5001669192,37.8306337522,91.9674710014,3.81768367286,1.0,1.0,1.0,107,0.000992378055194
25.8463171215,65.4440911627,51.5331214924,4.79768929416,1.0,1.0,1.0,108,0.000706304076867
37.8959419098,23.3038527375,106.486564281,3.0595734227,1.0,1.0,1.0,109,0.000286629231653
31.2520579454,11.1583930082,37.844509132,1.23427739337,1.0,1.0,1.0,110,0.000966570747519
32.5472978701,28.1801163087,89.9927073431,3.13679493547,1.0,1.0,1.0,111,0.00087597096803
35.8866436648,17.8977028497,76.8627225685,2.25074046136,1.0,1.0,1.0,112,0.00049872558016
31.584681672,79.3758118512,36.8917327522,6.33535603175,1.0,1.0,1.0,113,0.000948501297782
27.314998276,69.6496304275,49.6473337179,5.22654974699,1.0,1.0,1.0,114,0.000863438602933
23.7457405074,55.6723009168,53.5902032026,4.00200905375,1.0,1.0,1.0,115,0.000456136561497
29.4541593752,74.7168470523,45.0182039881,5.79847183679,1.0,1.0,1.0,116,0.000991430290025
26.1126444852,69.2937665396,46.0245037244,4.98488022003,1.0,1.0,1.0,117,0.000737212970323
28.9458497657,19.925604671,54.7855973026,2.01321171977,1.0,1.0,1.0,118,0.000975434315222
35.9577278746,76.4047199095,60.2876567824,7.13269501328,1.0,1.0,1.0,119,0.000490397873867
27.7220862131,48.1473793562,77.9470086404,4.21411658421,1.0,1.0,1.0,120,0.000899041911249
24.1769378043,69.5952128211,38.9810378036,4.62447023655,1.0,1.0,1.0,121,0.000506207371762
28.1581387268,76.6873043011,36.2585431202,5.59213666874,1.0,1.0,1.0,122,0.000931930665482
36.6073739252,30.4402775749,119.461301195,3.78505278978,1.0,1.0,1.0,123,0.000416530494033
26.9681154342,13.8041538021,34.3917389062,1.31320336481,1.0,1.0,1.0,124,0.000829863307312
31.8954586124,23.2348130686,75.2619103059,2.56791187351,1.0,1.0,1.0,125,0.000928204625991
13.603640365,39.1686236379,18.4937125093,1.75349489586,1.0,1.0,1.0,126,4.61031088603e-06
28.1080285248,70.4411814328,50.8633918198,5.40533631404,1.0,1.0,1.0,127,0.000928449839696
27.4465098278,73.8584466439,41.0556829143,5.38051173618,1.0,1.0,1.0,128,0.00087541778105
25.122493943,5.55617045624,12.4124134238,0.496407931004,1.0,1.0,1.0,129,0.000619743802535
30.4277688169,45.8597840278,94.4318548512,4.45634954697,1.0,1.0,1.0,130,0.000993712326131
29.8098261093,38.3928801197,88.2751844581,3.77824573822,1.0,1.0,1.0,131,0.000996634552353
32.513836151,22.7686245036,76.9891776414,2.5680005798,1.0,1.0,1.0,132,0.000878942986466
26.9270435418,14.5892295636,36.070644211,1.38420085274,1.0,1.0,1.0,133,0.000825712169541
26.5345338126,32.009213778,64.5840287699,2.87036308303,1.0,1.0,1.0,134,0.000784399423782
25.1952975606,80.432776491,21.232603535,5.07038023425,1.0,1.0,1.0,135,0.000628542826821
26.1181321545,30.8562348284,61.2953069299,2.73379913801,1.0,1.0,1.0,136,0.000737841858859
30.7307942127,46.5032499939,96.2328425987,4.5494959978,1.0,1.0,1.0,137,0.000986759432864
28.7828502565,61.241516633,71.3103579937,5.14951935413,1.0,1.0,1.0,138,0.000968238467527
22.4252386778,34.0903684565,47.6392507165,2.56517173939,1.0,1.0,1.0,139,0.00031657725261
26.6889045794,82.7425667825,18.2167355711,5.40307923723,1.0,1.0,1.0,140,0.000800983557961
26.5782337338,81.99578382,19.8786584781,5.37128651536,1.0,1.0,1.0,141,0.000789135300797
32.569002641,25.1425837959,83.2609592393,2.82401401228,1.0,1.0,1.0,142,0.000874027628108
32.8001511124,44.7798800747,109.777362756,4.71508862411,1.0,1.0,1.0,143,0.000852600041158
24.7766320783,29.0702650007,53.2038116209,2.45683996651,1.0,1.0,1.0,144,0.000577920334016
44.1972917953,27.7872392588,164.416883724,4.20496297163,1.0,1.0,1.0,145,1.77049735425e-05
26.8871112146,7.95095592806,20.2115211511,0.759014369505,1.0,1.0,1.0,146,0.000821642960318
39.9418811844,53.7651464457,155.230834543,6.57492999789,1.0,1.0,1.0,147,0.00013814273303
28.8756090629,45.2143216413,85.0793332047,4.18252498327,1.0,1.0,1.0,148,0.000972453615357
20.8113252754,9.11830047241,13.8304668813,0.673069869709,1.0,1.0,1.0,149,0.000184282998938
28.0066915332,27.2917170129,65.2279875214,2.62074665877,1.0,1.0,1.0,150,0.000921167516138
31.7170016329,77.6612705161,42.8572855448,6.32334321873,1.0,1.0,1.0,151,0.00094024980081
32.3483620307,24.1649511874,79.7609920151,2.70250758086,1.0,1.0,1.0,152,0.000893200779891
30.3880968672,16.5915894722,51.5727506264,1.77086752829,1.0,1.0,1.0,153,0.000994355803769
29.343679097,44.1562207693,87.8242904447,4.17169572342,1.0,1.0,1.0,154,0.000988800245612
30.6648707586,83.8520365951,20.4341289724,6.22214409154,1.0,1.0,1.0,155,0.000988576881134
31.1724374004,24.3644219496,74.5246729788,2.62445749162,1.0,1.0,1.0,156,0.000970309689914
23.0032266262,58.7708438127,47.8757649411,4.01430030934,1.0,1.0,1.0,157,0.00037465691908
28.3361567167,65.9295692064,61.0222579558,5.28003676929,1.0,1.0,1.0,158,0.000943635518423
26.5031423343,24.0110038638,53.2834410497,2.20090794177,1.0,1.0,1.0,159,0.000780978176926
34.2644483565,63.2573079826,96.2848893048,6.2447750489,1.0,1.0,1.0,160,0.000693254435052
29.627429119,34.4226507725,83.533689449,3.41799648731,1.0,1.0,1.0,161,0.000994590700677
40.6510835133,55.584466227,157.244771431,6.84398569682,1.0,1.0,1.0,162,0.000103151200464
28.7180446778,55.6823767281,78.3725506034,4.84060180836,1.0,1.0,1.0,163,0.000965107301759
34.5092529591,47.8619744356,120.913340028,5.22238197973,1.0,1.0,1.0,164,0.000664104975533
34.1786238673,12.2231814096,49.3306456657,1.47679719052,1.0,1.0,1.0,165,0.000703374543802
24.8331960318,71.8241995729,37.2994550166,4.81512572106,1.0,1.0,1.0,166,0.000584753395807
30.1027637223,30.6624054037,81.126275986,3.13301342727,1.0,1.0,1.0,167,0.000997145074091
32.5619764999,19.9214805139,69.3171017037,2.26426711497,1.0,1.0,1.0,168,0.000874658046465
35.3648742792,8.26201133506,36.2972910864,1.03712969407,1.0,1.0,1.0,169,0.000560859235553
27.7445023265,52.2714356257,76.0300408532,4.4782942648,1.0,1.0,1.0,170,0.000900871008505
26.1431031237,59.205149313,61.3416115726,4.58307757994,1.0,1.0,1.0,171,0.000740699053639
32.7837303839,6.32702622594,24.0248848425,0.737320460264,1.0,1.0,1.0,172,0.000854164997512
34.3802955837,45.9674442282,120.543958653,5.04439607538,1.0,1.0,1.0,173,0.000679507104921
28.0553773388,23.1196621475,58.0075796798,2.24816755221,1.0,1.0,1.0,174,0.000924706446269
23.4817523148,56.6138237649,51.7040442839,4.00138957035,1.0,1.0,1.0,175,0.000426390852573
37.7959064656,18.949314117,89.5406309999,2.50480096332,1.0,1.0,1.0,176,0.000295770650696
28.7018166004,60.2750188241,72.3918120224,5.08675506771,1.0,1.0,1.0,177,0.000964299445872
30.2225535828,35.9388279801,88.5809130238,3.62005233589,1.0,1.0,1.0,178,0.000996368207694
34.9254507975,79.9383989337,42.8219902885,7.01802334507,1.0,1.0,1.0,179,0.000613945502759
32.2784023633,16.0016751315,56.3440850715,1.81592665823,1.0,1.0,1.0,180,0.000899001884847
33.143329923,32.2853081551,101.230027584,3.61286368286,1.0,1.0,1.0,181,0.000818519333802
25.9517662917,14.0778820238,32.4287583642,1.28827000181,1.0,1.0,1.0,182,0.000718627795866
30.5204114113,78.9754895666,35.6819556998,6.11370846907,1.0,1.0,1.0,183,0.000991968067664
32.5615704859,75.1871484123,53.4814566546,6.42437172227,1.0,1.0,1.0,184,0.000874694437048
26.2818474224,25.635330123,54.9846700334,2.32053566286,1.0,1.0,1.0,185,0.000756433258925
25.3261791562,57.7987240937,59.0266907141,4.37357942607,1.0,1.0,1.0,186,0.000644332857502
40.5037274274,70.3777759116,105.904371915,7.7860337204,1.0,1.0,1.0,187,0.000109786951175
30.2085604479,49.4160650774,92.0139203095,4.68204171966,1.0,1.0,1.0,188,0.000996488429497
26.7960440193,47.3720466258,73.0171465013,4.02359972634,1.0,1.0,1.0,189,0.000812244009333
43.3705915352,24.3481827014,144.189310901,3.64915425939,1.0,1.0,1.0,190,2.79286520653e-05
39.0868232478,12.4482211302,65.6289735869,1.71947909458,1.0,1.0,1.0,191,0.000191272735277
30.7332194807,76.7772605251,42.9227571987,6.10580132032,1.0,1.0,1.0,192,0.000986689363086
35.9413467605,77.0334441383,57.6452495352,7.14793586302,1.0,1.0,1.0,193,0.000492313373178
25.5866465435,55.6481169655,62.2420372158,4.31102445043,1.0,1.0,1.0,194,0.000675567921979
27.0690117731,32.122383273,67.3408980534,2.93742683203,1.0,1.0,1.0,195,0.00083990907164
32.6271497188,32.9367655953,99.1366607205,3.62036916563,1.0,1.0,1.0,196,0.000868761960921
35.1110901243,63.0764540979,101.572408307,6.38886787727,1.0,1.0,1.0,197,0.000591488731472
35.3197492326,76.7688203398,56.7236106461,7.01676909824,1.0,1.0,1.0,198,0.000566293695176
28.7915233769,75.966914145,39.7973828458,5.70046229921,1.0,1.0,1.0,199,0.000968645944414
36.0737715521,67.3900435824,94.2546004026,6.79617652287,1.0,1.0,1.0,200,0.000476893626279
35.2021185116,56.3625316255,116.631621713,5.98119320757,1.0,1.0,1.0,201,0.000580486611702
37.595645443,11.7311968298,57.4238802172,1.55999248247,1.0,1.0,1.0,202,0.000314577630564
33.9517901181,17.9302967929,68.9064438232,2.13314079198,1.0,1.0,1.0,203,0.000729802956353
32.1856057055,76.8843347933,46.7214221457,6.39714505728,1.0,1.0,1.0,204,0.000906480965025
31.0182517529,53.5143247918,93.8725079999,5.08956052246,1.0,1.0,1.0,205,0.000976886765388
28.3709329936,5.73576394486,16.3348200507,0.578656112214,1.0,1.0,1.0,206,0.000945799206676
37.779473932,13.117723411,64.3824961116,1.74982633052,1.0,1.0,1.0,207,0.000297288540636
39.6879888427,58.0801409979,144.263888918,6.87483828902,1.0,1.0,1.0,208,0.000152622098457
27.1438367969,5.4049270601,14.1004849023,0.52179275932,1.0,1.0,1.0,209,0.000847214672366
27.4548251948,17.8646445118,44.9150214572,1.71883655792,1.0,1.0,1.0,210,0.000876160402339
29.8196559839,48.8987031867,89.8969606892,4.58582804771,1.0,1.0,1.0,211,0.000996707152739
29.3517811841,60.3516159522,75.5878761921,5.20591280742,1.0,1.0,1.0,212,0.00098900929008
42.7000287534,57.156900459,169.548361381,7.32138943095,1.0,1.0,1.0,213,3.96183688633e-05
25.3449703453,22.9415448052,47.0580665616,2.01617580535,1.0,1.0,1.0,214,0.000646595855719
19.5238597608,61.9743377103,32.2657414796,3.51723222925,1.0,1.0,1.0,215,0.000111065175031
29.9234660896,23.9799267098,67.8573641015,2.481916778,1.0,1.0,1.0,216,0.000997238868835
25.4006951236,31.0319761247,58.1644269851,2.67234166251,1.0,1.0,1.0,217,0.000653299300243
28.2938973588,64.7193125588,63.0882675385,5.22124349094,1.0,1.0,1.0,218,0.000940951646659
33.2812835744,56.9706320697,103.300439426,5.69443640685,1.0,1.0,1.0,219,0.000804138115393
32.9281799312,72.9378725374,62.067477913,6.42426886521,1.0,1.0,1.0,220,0.000840185519046
27.4932270321,57.6090315107,69.7792799819,4.7378818764,1.0,1.0,1.0,221,0.000879566579986
30.534177189,50.464687954,93.4107066016,4.80590759188,1.0,1.0,1.0,222,0.000991680096854
30.1104771027,12.4939813296,39.0806461905,1.32939020514,1.0,1.0,1.0,223,0.000997112272395
31.7433653932,34.4172642076,95.8844223746,3.66160107673,1.0,1.0,1.0,224,0.000938535817357
26.634814146,26.21618968,57.3780971818,2.40126094844,1.0,1.0,1.0,225,0.0007952193281
31.1360638033,24.5191713654,74.7022489943,2.63701933243,1.0,1.0,1.0,226,0.000971940567796
40.1570072964,82.840843908,40.6945271914,8.13141530807,1.0,1.0,1.0,227,0.000126698662809
29.8338069026,36.4478179141,86.8050411718,3.61713859518,1.0,1.0,1.0,228,0.000996804910953
36.5855399334,76.3637242819,62.5850348934,7.25597228081,1.0,1.0,1.0,229,0.000418937084931
29.1740137613,55.4910903169,81.0904765679,4.90622426269,1.0,1.0,1.0,230,0.000983839144173
28.0744560603,68.5849041081,54.6758539761,5.3339154575,1.0,1.0,1.0,231,0.000926073021431
31.8606686482,45.2109676134,103.579049175,4.61463165879,1.0,1.0,1.0,232,0.000930633671464
32.1847205505,51.1523108851,103.271525353,5.11550616965,1.0,1.0,1.0,233,0.000906551100646
35.4961830676,44.401415577,128.541222497,5.06857236639,1.0,1.0,1.0,234,0.000545087815695
26.3088157892,20.6194389648,46.5579264184,1.89079423502,1.0,1.0,1.0,235,0.000759462282686
29.9898905282,62.7961694584,74.6293434523,5.44338431268,1.0,1.0,1.0,236,0.000997353662382
30.907395094,27.4617889948,79.7732098027,2.9088082128,1.0,1.0,1.0,237,0.000981066416884
33.6704657656,6.94527689413,27.7719545666,0.830913629903,1.0,1.0,1.0,238,0.000761782512993
21.4484227233,56.6377839566,43.1219272109,3.65590859762,1.0,1.0,1.0,239,0.000231023167863
42.7296047201,19.1688540611,115.566037778,2.86334775117,1.0,1.0,1.0,240,3.90268843549e-05
29.622953296,80.2366869886,29.9292197588,5.95794177059,1.0,1.0,1.0,241,0.000994523962784
27.079259502,81.3142865329,22.3401566863,5.46300060776,1.0,1.0,1.0,242,0.000840917011305
35.9631800281,78.1891510806,52.8816670136,7.18403897086,1.0,1.0,1.0,243,0.000489760823533
33.336641609,34.6126956189,106.028180741,3.86450678617,1.0,1.0,1.0,244,0.000798267642728
38.3769862078,6.23652890353,32.4586319526,0.850818992725,1.0,1.0,1.0,245,0.000245090987498
27.8107885766,79.2654852556,28.8854765854,5.57635128302,1.0,1.0,1.0,246,0.000906195027053
30.6632507149,39.2547318419,94.0194285331,3.95974757035,1.0,1.0,1.0,247,0.000988619422781
30.9110682461,82.3323855729,25.7852834286,6.2519766188,1.0,1.0,1.0,248,0.000980935365124
40.3032296123,82.089597638,45.1883684973,8.14688243939,1.0,1.0,1.0,249,0.000119340012733
22.8145516582,73.2407564084,29.3291136515,4.45826535308,1.0,1.0,1.0,250,0.000355133622551
27.459577223,28.5559117476,64.6103787818,2.67880012241,1.0,1.0,1.0,251,0.000876583986376
25.6272799521,35.8078185541,63.5957112581,3.05994088111,1.0,1.0,1.0,252,0.000680408848509
26.9128391557,73.090933987,41.1342729713,5.25496567792,1.0,1.0,1.0,253,0.000824268425591
29.8154686924,30.3537607066,79.1116018948,3.07487249172,1.0,1.0,1.0,254,0.000996676697036
28.3762727552,18.5594200933,49.5838753549,1.84322984464,1.0,1.0,1.0,255,0.000946127818237
28.664439971,49.5441012188,82.7893277673,4.45121095813,1.0,1.0,1.0,256,0.00096240279209
35.0596270507,79.8923820059,43.340765383,7.0439788865,1.0,1.0,1.0,257,0.000597713151918
37.3795819773,60.6823836583,121.740499156,6.65142018808,1.0,1.0,1.0,258,0.000335607685284
22.6365059263,50.6048937062,51.2893465393,3.57004392824,1.0,1.0,1.0,259,0.00033720349073
25.9491061219,12.7741198074,29.632538025,1.17092961134,1.0,1.0,1.0,260,0.000718318205071
32.2153647206,54.2005783248,100.486236324,5.3324299899,1.0,1.0,1.0,261,0.000904109662174
28.1896088465,84.2043082042,16.2928896946,5.72357390914,1.0,1.0,1.0,262,0.00093407539258
26.6927775673,16.2067210887,38.9714350324,1.52041925648,1.0,1.0,1.0,263,0.000801394290099
27.310029835,46.466372507,76.0062133516,4.04060387388,1.0,1.0,1.0,264,0.000862977559525
27.6971109109,75.189845597,38.6891841192,5.46468577532,1.0,1.0,1.0,265,0.00089698713035
35.1537249932,64.2614892263,98.6557483464,6.46244082849,1.0,1.0,1.0,266,0.000586334151542
24.5218720271,60.7612592112,52.3048921711,4.3668550173,1.0,1.0,1.0,267,0.000547252199673
32.7510306364,61.1987264958,92.4160222305,5.85706045395,1.0,1.0,1.0,268,0.000857262425983
30.6639463057,33.7592920542,88.6550916788,3.47757356249,1.0,1.0,1.0,269,0.000988601169357
27.3276780446,28.4873478914,63.8919544321,2.66006886037,1.0,1.0,1.0,270,0.000864612461356
28.9877293364,69.7488926129,55.6886116231,5.55017195718,1.0,1.0,1.0,271,0.000977124074841
26.7245816261,69.809071474,47.2160305075,5.11883553313,1.0,1.0,1.0,272,0.000804756837985
31.4163323322,74.3657855851,52.2748247356,6.17428262279,1.0,1.0,1.0,273,0.000958133893859
23.0278594717,78.0592443964,21.9064246654,4.59787429427,1.0,1.0,1.0,274,0.000377244156096
17.183747622,45.907392381,30.1156199717,2.51870282588,1.0,1.0,1.0,275,3.73368575677e-05
31.6314088454,45.1213036571,102.095617962,4.57430353598,1.0,1.0,1.0,276,0.000945654784528
25.6887313297,68.8636144399,45.2955406071,4.88990102711,1.0,1.0,1.0,277,0.000687709648761
22.655903851,56.997114432,47.8504852533,3.87759556867,1.0,1.0,1.0,278,0.000339133051519
28.6915966781,61.1573505346,70.9911405604,5.12904937216,1.0,1.0,1.0,279,0.000963785821053
