v0,angle,r,t,ProbabilityWeight-angle,ProbabilityWeight,ProbabilityWeight-v0,prefix,PointProbability
34.146682423,34.9632091517,111.75150107,3.99342191707,1.0,1.0,1.0,1,0.000707125368864
25.4882368437,81.0571449427,20.3591942834,5.13844868837,1.0,1.0,1.0,2,0.000663804276739
33.8557501863,63.5595150801,93.2622892388,6.18660190289,1.0,1.0,1.0,3,0.000740830080299
31.2260122669,52.8926789127,95.7440602345,5.08223644105,1.0,1.0,1.0,4,0.000967819261076
29.3190148008,17.4814910843,50.2646856607,1.79742131146,1.0,1.0,1.0,5,0.000988148174627
23.5915275853,17.4795619055,32.5412718951,1.44613935111,1.0,1.0,1.0,6,0.000438665473768
29.488369101,9.64668888707,29.3171970197,1.00845500928,1.0,1.0,1.0,7,0.000992147865475
27.8515229503,74.2940919076,41.2538294982,5.47176611878,1.0,1.0,1.0,8,0.00090940305886
24.6623616824,53.0892009214,59.6066688396,4.02435121764,1.0,1.0,1.0,9,0.000564138518472
31.9386013534,61.6458062773,87.0068926064,5.73609810042,1.0,1.0,1.0,10,0.000925138978733
22.0718474929,6.64675990158,11.4304992233,0.521381261596,1.0,1.0,1.0,11,0.000283722155658
32.9439477498,82.5927877793,28.3163653528,6.6671486937,1.0,1.0,1.0,12,0.000838631092384
37.7136856073,71.595410925,86.9578489561,7.30299142877,1.0,1.0,1.0,13,0.000303411073631
14.1812726411,21.9871289509,14.2486416897,1.08356007338,1.0,1.0,1.0,14,6.68900258485e-06
42.0934076531,19.545997366,114.007544197,2.87406493563,1.0,1.0,1.0,15,5.35222419226e-05
31.4943647636,19.6723607962,64.167985072,2.16373393646,1.0,1.0,1.0,16,0.000953791368963
31.4181517565,29.3393792827,86.045546624,3.14169788787,1.0,1.0,1.0,17,0.000958035074545
17.7306259174,46.9805149273,32.0024629178,2.64556037305,1.0,1.0,1.0,18,4.91244399722e-05
20.0287553325,39.5556016906,40.1967942864,2.60302995304,1.0,1.0,1.0,19,0.000136536649521
30.3107041872,28.2983312065,78.2630257402,2.93248370349,1.0,1.0,1.0,20,0.000995431922381
28.7314651926,53.9482318351,80.1585787397,4.740607237,1.0,1.0,1.0,21,0.000965768218999
21.6095962598,16.1595089946,25.4755106652,1.2273915311,1.0,1.0,1.0,22,0.000243990668125
39.6955085411,28.3715718108,134.455166272,3.8495545663,1.0,1.0,1.0,23,0.000152177828331
26.3512472884,34.308947611,65.9789087613,3.03122726654,1.0,1.0,1.0,24,0.000764207653982
23.3148504048,41.485599232,55.0507245839,3.1519383573,1.0,1.0,1.0,25,0.000408006446876
31.5062230788,67.8140768182,70.8333376313,5.95379776433,1.0,1.0,1.0,26,0.000953112855926
28.5048947225,20.9739026837,55.4222189254,2.08226907113,1.0,1.0,1.0,27,0.000953749140898
40.6279011075,46.1387549064,168.298211301,5.9782709809,1.0,1.0,1.0,28,0.000104173922973
29.5829516339,52.3931658192,86.3438559422,4.78288021634,1.0,1.0,1.0,29,0.000993892339927
35.4002581085,8.71603254315,38.3082247886,1.09478849308,1.0,1.0,1.0,30,0.000556602713877
