counter,crew1DG2CoupledDG1,SecPGrecoveryTime,DG1recoveryTime,avg_temp_clad_CH1,time
1,0.0,2408.29037687,338.119784648,733.615941978,2500.0
2,0.0,2408.29037687,1261.88021535,733.615941978,2500.0
3,0.0,791.709623135,1261.88021535,733.615941978,2500.0
4,0.0,791.709623135,1261.88021535,733.615941978,2500.0
5,0.0,791.709623135,338.119784648,733.615941978,2500.0
6,0.0,791.709623135,338.119784648,733.615941978,2500.0
7,0.0,2408.29037687,1261.88021535,733.615941978,2500.0
8,0.0,2408.29037687,338.119784648,733.615941978,2500.0
