0000582,0000583,0000597,0000596,0000200,0000579,0000578,0000575,20508701,20508801,failureTemp,0000588,timeof_692,timeof_578,timeof_591,time,timeof_672,cntrlvar_67,timeof_679
3599.86503048,27253.3142062,24388.9894808,7806.51819491,11962.8993259,7847.43930493,15683.0137968,18173.0049395,242.505172006,16748.5384409,2437.57856755,14375.7938099,-1.0,-1.0,-1.0,19810.4,19810.0,935.4,19810.0
4196.78052251,2081.12444004,10901.0593679,23730.3165781,19118.0420712,26937.6881478,22080.1142359,25798.3288576,113.806150962,20324.5863882,2015.57841388,13947.8857388,31238.0,-1.0,-1.0,31953.3,-1.0,2015.6,-1.0
25823.18884,25266.9605857,3951.59753058,16221.9641682,28171.1774135,16511.4911668,3754.13212872,27969.6152979,154.406141342,19872.3037989,2026.58261398,27849.2490951,-1.0,31925.0,-1.0,31925.4,31925.0,1006.5,-1.0
25778.1873652,22765.853188,18650.4252677,13296.8562496,7697.59047902,11140.5877117,28759.3365895,11003.2258814,46.0369351226,19655.3352577,2493.77656451,11337.2225273,-1.0,-1.0,-1.0,18838.3,18838.0,990.86,18838.0
10499.2115722,1649.67881623,5113.04592603,3689.15044326,19079.8396599,14307.0037874,26089.0475377,21319.1772139,210.429599816,16910.8406152,2576.73448103,4573.52505934,-1.0,-1.0,-1.0,31400.0,-1.0,2576.7,-1.0
15780.4801137,1564.90579041,19646.3637948,26961.1016229,4641.69614345,6160.92975213,14583.3180447,4448.80834641,240.09058703,14757.3074495,2508.07225611,2318.65539855,-1.0,-1.0,-1.0,11409.2,11409.0,1018.6,11409.0
22612.8228728,8221.34979424,6795.83381229,13901.8379114,6132.06763805,24954.6607345,11175.1351685,18306.853218,44.5227423169,19550.0665062,2329.37309422,15008.2624248,-1.0,17307.0,-1.0,17307.2,17307.0,819.43,-1.0
28531.3143971,10514.9047416,26866.932601,16643.5557854,28632.4558798,18245.9548945,10042.9187461,2618.36729279,38.8806743497,15160.4707984,2335.82473534,28113.0680013,-1.0,38675.0,-1.0,38675.4,38675.0,1009.3,-1.0
19921.1504333,7375.39522553,12937.5094906,5179.30361235,16706.7697735,5425.51331249,5748.35608413,23851.5903815,111.179899984,19359.0710552,2142.31785325,16820.3087405,-1.0,-1.0,-1.0,22132.3,22132.0,994.78,22132.0
13569.5664609,4203.70344081,18290.7631039,15491.5390108,23732.075074,8273.35733731,3573.99586233,5076.26820097,69.4559210346,14610.8980811,2429.87108616,3047.01772106,-1.0,27306.0,-1.0,27306.1,27306.0,1018.4,-1.0
