                *****************************
                *         Covariance        *
                *****************************
                ,var1            ,cosine          ,square          ,sine            ,time            
var1,            5.99078341E-02  ,2.44617438E-02  ,5.76036866E-02  ,4.93936471E-02  ,0.00000000E+00  
cosine,          2.44617438E-02  ,2.40504244E-02  ,4.89234875E-02  ,4.03908128E-02  ,0.00000000E+00  
square,          5.76036866E-02  ,4.89234875E-02  ,1.15207373E-01  ,9.87872941E-02  ,0.00000000E+00  
sine,            4.93936471E-02  ,4.03908128E-02  ,9.87872941E-02  ,8.55289521E-02  ,0.00000000E+00  
time,            0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  
                *****************************
                *         Correlation       *
                *****************************
                ,var1            ,cosine          ,square          ,sine            ,time            
var1,            1.00000000E+00  ,6.44442585E-01  ,6.93375245E-01  ,6.90037526E-01  ,NAN  
cosine,          6.44442585E-01  ,1.00000000E+00  ,9.29428314E-01  ,8.90562996E-01  ,NAN  
square,          6.93375245E-01  ,9.29428314E-01  ,1.00000000E+00  ,9.95186273E-01  ,NAN  
sine,            6.90037526E-01  ,8.90562996E-01  ,9.95186273E-01  ,1.00000000E+00  ,NAN  
time,            NAN  ,NAN  ,NAN  ,NAN  ,NAN  
                ******************************
                * Normalized V.D.Sensitivity *
                ******************************
                ,var1            ,cosine          ,square          ,sine            ,time            
var1,            1.00000000E+00  ,4.32644005E-10  ,1.51844170E+01  ,-4.57597160E-10  ,0.00000000E+00  
cosine,          1.73360676E-12  ,1.00000000E+00  ,3.93414109E+01  ,9.68682885E-01  ,0.00000000E+00  
square,          3.68164400E-05  ,2.38064018E-02  ,1.00000000E+00  ,-2.49936658E-02  ,0.00000000E+00  
sine,            -1.76749327E-12  ,9.33666157E-01  ,-3.98103616E+01  ,1.00000000E+00  ,-0.00000000E+00  
time,            0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  ,-0.00000000E+00  ,1.00000000E+00  
                ******************************
                *          Sensitivity       *
                ******************************
                ,var1            ,cosine          ,square          ,sine            ,time            
var1,            1.00000000E+00  ,2.73018941E-10  ,4.99999999E-01  ,5.66046765E-10  ,0.00000000E+00  
cosine,          2.74718878E-12  ,1.00000000E+00  ,2.05286185E+00  ,-1.89884070E+00  ,0.00000000E+00  
square,          1.11807236E-03  ,4.56230132E-01  ,1.00000000E+00  ,9.38916714E-01  ,0.00000000E+00  
sine,            1.42885703E-12  ,-4.76304530E-01  ,1.05973923E+00  ,1.00000000E+00  ,0.00000000E+00  
time,            0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  ,0.00000000E+00  ,1.00000000E+00  
