Time,Load,Eeng,,
784800,39982.51,168093.119,39982.51,5042.79357
788400,38812.77,150099.307,38812.77,4502.97921
792000,38159.05,323024.187,38159.05,9690.72561
795600,38082.56,205195.121,38082.56,6155.85363
799200,37970.9,341615.023,37970.9,10248.45069
802800,38857.61,192496.021,38857.61,5774.88063
806400,41934.87,94552.2657,41934.87,2836.567971
810000,45972.51,66290.9455,45972.51,1988.728365
813600,49643.46,71567.6416,49643.46,2147.029248
817200,53233.14,80087.5156,53233.14,2402.625468
820800,56427.79,136145.96,56427.79,4084.3788
824400,59060.21,152607.103,59060.21,4578.21309
828000,61001.23,97016.9379,61001.23,2910.508137
831600,62343.85,148855.778,62343.85,4465.67334
835200,63185.82,148855.778,63185.82,4465.67334
838800,63081.4,211923.246,63081.4,6357.69738
842400,61910.92,234103.02,61910.92,7023.0906
846000,59697.38,410245.26,59697.38,12307.3578
849600,57853.24,721142.252,57853.24,21634.26756
853200,56304.48,608444.304,56304.48,18253.32912
856800,52943.11,1122742.78,52943.11,33682.2834
860400,48951.01,1381532.94,48951.01,41445.9882
864000,45600.83,1059324.45,45600.83,31779.7335
867600,43323.11,1228156.12,43323.11,36844.6836
871200,41857.78,1292833.18,41857.78,38784.9954
874800,41049.27,1499763.31,41049.27,44992.8993
878400,41163.09,1187542.4,41163.09,35626.272
882000,42359.75,1499763.31,42359.75,44992.8993
885600,44012.92,1499763.31,44012.92,44992.8993
889200,45471.39,1400482.91,45471.39,42014.4873
892800,47884.94,1499763.31,47884.94,44992.8993
896400,50836.97,1073662.52,50836.97,32209.8756
900000,53907.24,1173842.23,53907.24,35215.2669
903600,56922.73,660218.121,56922.73,19806.54363
907200,59514.31,1499763.31,59514.31,44992.8993
910800,62070.86,1499763.31,62070.86,44992.8993
914400,64026.66,1499763.31,64026.66,44992.8993
918000,65686.72,1499763.31,65686.72,44992.8993
921600,66650.4,1499763.31,66650.4,44992.8993
925200,66475.39,1499763.31,66475.39,44992.8993
928800,65200.7,0,65200.7,0
932400,62811.22,0,62811.22,0
936000,60413.97,0,60413.97,0
939600,58550.02,1499763.31,58550.02,44992.8993
943200,54667.24,1499763.31,54667.24,44992.8993
946800,50403.45,1499763.31,50403.45,44992.8993
950400,46956.03,1499763.31,46956.03,44992.8993
954000,44525.42,1499763.31,44525.42,44992.8993
957600,42904.82,1499763.31,42904.82,44992.8993
961200,41833.36,1499763.31,41833.36,44992.8993
964800,41515.26,1499763.31,41515.26,44992.8993
968400,42552.67,1499763.31,42552.67,44992.8993
972000,44080.71,1499763.31,44080.71,44992.8993
975600,45456.07,1499763.31,45456.07,44992.8993
979200,47839.36,1499763.31,47839.36,44992.8993
982800,50965.23,1499763.31,50965.23,44992.8993
986400,54396.48,1499763.31,54396.48,44992.8993
990000,57794.68,1499763.31,57794.68,44992.8993
993600,60696.04,1499763.31,60696.04,44992.8993
997200,63451.5,1499763.31,63451.5,44992.8993
1000800,65405.25,1499763.31,65405.25,44992.8993
1004400,66634.4,1499763.31,66634.4,44992.8993
1008000,67127.25,1499763.31,67127.25,44992.8993
1011600,66609.17,1499763.31,66609.17,44992.8993
1015200,65272.41,1499763.31,65272.41,44992.8993
1018800,62784.3,1499763.31,62784.3,44992.8993
1022400,60133.6,1499763.31,60133.6,44992.8993
1026000,57879.89,1499763.31,57879.89,44992.8993
1029600,53915.63,1499763.31,53915.63,44992.8993
1033200,49707.17,0,49707.17,0
1036800,46175.57,0,46175.57,0
1040400,43576.4,0,43576.4,0
1044000,41797.86,0,41797.86,0
1047600,40797.95,0,40797.95,0
1051200,40560.3,1499763.31,40560.3,44992.8993
1054800,41710.77,1499763.31,41710.77,44992.8993
1058400,43140.39,1499763.31,43140.39,44992.8993
1062000,44399.12,1499763.31,44399.12,44992.8993
1065600,46953.15,1499763.31,46953.15,44992.8993
1069200,50251.08,1499763.31,50251.08,44992.8993
1072800,53954.54,1499763.31,53954.54,44992.8993
1076400,57337.92,1499763.31,57337.92,44992.8993
1080000,60396.05,1499763.31,60396.05,44992.8993
1083600,63360.56,1499763.31,63360.56,44992.8993
1087200,65615.3,1499763.31,65615.3,44992.8993
1090800,67076.69,1499763.31,67076.69,44992.8993
1094400,67685.89,1499763.31,67685.89,44992.8993
1098000,67362.31,1499763.31,67362.31,44992.8993
1101600,66033.28,1499763.31,66033.28,44992.8993
1105200,63463.27,1499763.31,63463.27,44992.8993
1108800,60729.93,1499763.31,60729.93,44992.8993
1112400,58254.86,1499763.31,58254.86,44992.8993
1116000,54176.01,1499763.31,54176.01,44992.8993
1119600,49962.53,1499763.31,49962.53,44992.8993
1123200,46301.95,1499763.31,46301.95,44992.8993
1126800,43554.43,1499763.31,43554.43,44992.8993
1130400,41599.08,1499763.31,41599.08,44992.8993
1134000,40401.49,1499763.31,40401.49,44992.8993
1137600,40054.55,1499763.31,40054.55,44992.8993
1141200,40876.83,1499763.31,40876.83,44992.8993
1144800,42136.28,1499763.31,42136.28,44992.8993
1148400,43766.34,1499763.31,43766.34,44992.8993
1152000,46727.11,1259359.72,46727.11,37780.7916
1155600,50317.4,298279.695,50317.4,8948.39085
1159200,54125.8,201969.554,54125.8,6059.08662
1162800,57633.12,279839.217,57633.12,8395.17651
1166400,60562.16,442472.571,60562.16,13274.17713
1170000,62988.54,717597.594,62988.54,21527.92782
1173600,63800.42,884840.199,63800.42,26545.20597
1177200,63730.94,821746.062,63730.94,24652.38186
1180800,63853.87,1018069.87,63853.87,30542.0961
1184400,63430.02,1053218.85,63430.02,31596.5655
1188000,62436.38,1499763.31,62436.38,44992.8993
1191600,60562.33,1499763.31,60562.33,44992.8993
1195200,58353.3,1499763.31,58353.3,44992.8993
1198800,56547.74,1499763.31,56547.74,44992.8993
1202400,53031.84,1499763.31,53031.84,44992.8993
1206000,49034.48,1499763.31,49034.48,44992.8993
1209600,45543.25,0,45543.25,0
1213200,43030.22,0,43030.22,0
1216800,41204.01,0,41204.01,0
1220400,40008.26,0,40008.26,0
1224000,39675.23,0,39675.23,0
1227600,40484.35,1499763.31,40484.35,44992.8993
1231200,41525.72,1499763.31,41525.72,44992.8993
1234800,43184.91,1499763.31,43184.91,44992.8993
1238400,46406.3,1499763.31,46406.3,44992.8993
1242000,49844.7,1499763.31,49844.7,44992.8993
1245600,53570.1,1059324.45,53570.1,31779.7335
1249200,56588.18,974521.238,56588.18,29235.63714
1252800,59154.54,1499763.31,59154.54,44992.8993
1256400,61665.6,1177120.61,61665.6,35313.6183
1260000,63755.3,1084500.57,63755.3,32535.0171
1263600,65231.84,1131243,65231.84,33937.29
1267200,65646.23,1010641.14,65646.23,30319.2342
1270800,64968.19,898930.713,64968.19,26967.92139
1274400,63263.73,1348334.13,63263.73,40450.0239
1278000,60690.98,1432657.71,60690.98,42979.7313
1281600,58163.25,1499763.31,58163.25,44992.8993
1285200,56373.41,1499763.31,56373.41,44992.8993
1288800,53246.93,1499763.31,53246.93,44992.8993
1292400,49799.41,1499763.31,49799.41,44992.8993
1296000,46685.05,1499763.31,46685.05,44992.8993
1299600,44194.47,1499763.31,44194.47,44992.8993
1303200,42227.9,1499763.31,42227.9,44992.8993
1306800,40918.04,1499763.31,40918.04,44992.8993
1310400,40030.28,1499763.31,40030.28,44992.8993
1314000,39764.13,1499763.31,39764.13,44992.8993
1317600,39608.76,1499763.31,39608.76,44992.8993
1321200,40915,1499763.31,40915,44992.8993
1324800,44254.67,1400482.91,44254.67,42014.4873
1328400,47866.18,469792.561,47866.18,14093.77683
1332000,51217.54,98683.6209,51217.54,2960.508627
1335600,54398.34,77919.8524,54398.34,2337.595572
1339200,57325.14,85491.193,57325.14,2564.73579
1342800,59537.53,155567.984,59537.53,4667.03952
1346400,60952.5,272351.355,60952.5,8170.54065
1350000,61937.72,343777.137,61937.72,10313.31411
1353600,62452.56,230580.41,62452.56,6917.4123
1357200,61850.17,370185.083,61850.17,11105.55249
1360800,60625.08,426989.806,60625.08,12809.69418
1364400,58394.53,1499763.31,58394.53,44992.8993
1368000,56001.89,1499763.31,56001.89,44992.8993
1371600,54306.44,1499763.31,54306.44,44992.8993
1375200,51421.7,1499763.31,51421.7,44992.8993
1378800,48231.6,1499763.31,48231.6,44992.8993
1382400,45000.95,1499763.31,45000.95,44992.8993
1386000,42387.44,1499763.31,42387.44,44992.8993
1389600,40450.99,1499763.31,40450.99,44992.8993
1393200,38951.07,1499763.31,38951.07,44992.8993
1396800,37938.84,1499763.31,37938.84,44992.8993
1400400,37514.53,1499763.31,37514.53,44992.8993
1404000,37083.2,1499763.31,37083.2,44992.8993
1407600,38191.69,1499763.31,38191.69,44992.8993
1411200,41594.95,1499763.31,41594.95,44992.8993
1414800,45084.26,1499763.31,45084.26,44992.8993
1418400,47739.36,1499763.31,47739.36,44992.8993
1422000,50166.33,1499763.31,50166.33,44992.8993
1425600,52801.79,1499763.31,52801.79,44992.8993
1429200,54820.55,1499763.31,54820.55,44992.8993
1432800,56153.41,1499763.31,56153.41,44992.8993
1436400,57530.11,1499763.31,57530.11,44992.8993
1440000,58423.83,1499763.31,58423.83,44992.8993
1443600,58098.29,1499763.31,58098.29,44992.8993
1447200,57019.62,1499763.31,57019.62,44992.8993
1450800,55264.54,1499763.31,55264.54,44992.8993
1454400,53608.97,1499763.31,53608.97,44992.8993
1458000,52665.56,1499763.31,52665.56,44992.8993
1461600,50046.35,0,50046.35,0
1465200,46622.6,1499763.31,46622.6,44992.8993
1468800,43636.72,1499763.31,43636.72,44992.8993
1472400,41390.82,1499763.31,41390.82,44992.8993
1476000,39852.6,0,39852.6,0
1479600,39128.96,1499763.31,39128.96,44992.8993
1483200,39111,1499763.31,39111,44992.8993
1486800,40328.8,1499763.31,40328.8,44992.8993
1490400,41950.95,1499763.31,41950.95,44992.8993
1494000,43206.91,1499763.31,43206.91,44992.8993
1497600,45004.86,1499763.31,45004.86,44992.8993
1501200,47184.07,1499763.31,47184.07,44992.8993
1504800,49719.52,1499763.31,49719.52,44992.8993
1508400,51936.16,1499763.31,51936.16,44992.8993
1512000,53793.63,1499763.31,53793.63,44992.8993
1515600,55845.53,1499763.31,55845.53,44992.8993
1519200,57520.54,1341162.15,57520.54,40234.8645
1522800,58598.23,921506.609,58598.23,27645.19827
1526400,58973.61,745475.294,58973.61,22364.25882
1530000,58400.8,1234919.7,58400.8,37047.591
1533600,57144.3,1499763.31,57144.3,44992.8993
1537200,55102.2,1499763.31,55102.2,44992.8993
1540800,53252.56,1499763.31,53252.56,44992.8993
1544400,51857.54,1499763.31,51857.54,44992.8993
1548000,48679.86,1499763.31,48679.86,44992.8993
1551600,45084.84,1499763.31,45084.84,44992.8993
1555200,42046.84,1499763.31,42046.84,44992.8993
1558800,39933.79,1499763.31,39933.79,44992.8993
1562400,38549.51,1499763.31,38549.51,44992.8993
1566000,37698.31,1499763.31,37698.31,44992.8993
1569600,37633.86,1499763.31,37633.86,44992.8993
1573200,38833.77,1499763.31,38833.77,44992.8993
1576800,40596.42,1499763.31,40596.42,44992.8993
1580400,41755.19,1499763.31,41755.19,44992.8993
1584000,43252.11,1499763.31,43252.11,44992.8993
1587600,45112.63,364148.21,45112.63,10924.4463
1591200,47297.05,109871.921,47297.05,3296.15763
1594800,48921.46,64538.8538,48921.46,1936.165614
1598400,50319.48,40435.7888,50319.48,1213.073664
1602000,51297.44,0,51297.44,0
1605600,51663.92,0,51663.92,0
1609200,51863.78,0,51863.78,0
1612800,51888.26,46558.2498,51888.26,1396.747494
1616400,51621.58,37011.8798,51621.58,1110.356394
1620000,50848.01,58724.0701,50848.01,1761.722103
1623600,49750.85,172159.714,49750.85,5164.79142
1627200,49199.55,353496.941,49199.55,10604.90823
1630800,48672.57,546888.974,48672.57,16406.66922
1634400,46323.29,965867.425,46323.29,28976.02275
1638000,43120.72,1499763.31,43120.72,44992.8993
1641600,40411.01,1499763.31,40411.01,44992.8993
1645200,38518.37,1499763.31,38518.37,44992.8993
1648800,37376.06,1499763.31,37376.06,44992.8993
1652400,36774.2,1499763.31,36774.2,44992.8993
1656000,36964,1499763.31,36964,44992.8993
1659600,38546.45,1499763.31,38546.45,44992.8993
1663200,40619.9,1499763.31,40619.9,44992.8993
1666800,41971.57,1319208.75,41971.57,39576.2625
1670400,43311.92,920113.67,43311.92,27603.4101
1674000,45001.96,238037.968,45001.96,7141.13904
1677600,47014.89,63831.0823,47014.89,1914.932469
1681200,49406.08,39234.239,49406.08,1177.02717
1684800,51484.25,0,51484.25,0
1688400,53341.08,50338.5169,53341.08,1510.155507
1692000,54521.66,0,54521.66,0
1695600,55256.88,0,55256.88,0
1699200,55427.01,57619.3405,55427.01,1728.580215
1702800,54874.56,56890.6055,54874.56,1706.718165
1706400,53928.66,295659.391,53928.66,8869.78173
1710000,52506.75,1209126.85,52506.75,36273.8055
1713600,51167.37,1499763.31,51167.37,44992.8993
1717200,50002.25,1499763.31,50002.25,44992.8993
1720800,46982.31,1499763.31,46982.31,44992.8993
1724400,43433.11,197943.703,43433.11,5938.31109
1728000,40575.24,668059.996,40575.24,20041.79988
1731600,38515.48,1499763.31,38515.48,44992.8993
1735200,37206.65,1499763.31,37206.65,44992.8993
1738800,36464.44,1499763.31,36464.44,44992.8993
1742400,36454.76,1499763.31,36454.76,44992.8993
1746000,37829.12,0,37829.12,0
1749600,39716.19,0,39716.19,0
1753200,41209.5,1499763.31,41209.5,44992.8993
1756800,43296.85,0,43296.85,0
1760400,46127.41,0,46127.41,0
1764000,49319.46,1499763.31,49319.46,44992.8993
1767600,52331.33,1499763.31,52331.33,44992.8993
1771200,54789.02,1499763.31,54789.02,44992.8993
1774800,56928.73,1499763.31,56928.73,44992.8993
1778400,58992.99,1499763.31,58992.99,44992.8993
1782000,60952.53,1499763.31,60952.53,44992.8993
1785600,62441.91,1499763.31,62441.91,44992.8993
1789200,62805.16,0,62805.16,0
1792800,61886.69,1499763.31,61886.69,44992.8993
1796400,59907.64,861536.487,59907.64,25846.09461
1800000,57725.81,996871.039,57725.81,29906.13117
1803600,55794.55,224546.498,55794.55,6736.39494
1807200,52129.86,50740.8655,52129.86,1522.225965
1810800,48195.1,0,48195.1,0
1814400,44814.54,0,44814.54,0
1818000,42371.7,251472.511,42371.7,7544.17533
1821600,40751.23,1499763.31,40751.23,44992.8993
1825200,39767.31,1499763.31,39767.31,44992.8993
1828800,39535.47,1499763.31,39535.47,44992.8993
1832400,40490.73,1499763.31,40490.73,44992.8993
1836000,41852.47,1499763.31,41852.47,44992.8993
1839600,43458.12,1499763.31,43458.12,44992.8993
1843200,46257.41,1499763.31,46257.41,44992.8993
1846800,49845.55,1499763.31,49845.55,44992.8993
1850400,53299.32,1499763.31,53299.32,44992.8993
1854000,56802.26,1499763.31,56802.26,44992.8993
1857600,59999.25,1499763.31,59999.25,44992.8993
1861200,63213.1,1305097.59,63213.1,39152.9277
1864800,65852.24,1195813.44,65852.24,35874.4032
1868400,67314.59,1346538.74,67314.59,40396.1622
1872000,67807.82,1136043.18,67807.82,34081.2954
1875600,67662.03,1059324.45,67662.03,31779.7335
1879200,66653.31,977900.519,66653.31,29337.01557
1882800,64373.7,1160789.59,64373.7,34823.6877
1886400,61660.4,696187.888,61660.4,20885.63664
1890000,59435.05,404315.395,59435.05,12129.46185
1893600,56004.38,950135.444,56004.38,28504.06332
1897200,52352.14,609501.65,52352.14,18285.0495
1900800,48906.11,634522.117,48906.11,19035.66351
1904400,45921.36,218440.801,45921.36,6553.22403
1908000,43554.36,161313.231,43554.36,4839.39693
1911600,41774.52,264189.528,41774.52,7925.68584
1915200,40483.61,226728.311,40483.61,6801.84933
1918800,39944.96,432858.04,39944.96,12985.7412
1922400,39881.65,108192.522,39881.65,3245.77566
1926000,40780.09,225635.647,40780.09,6769.06941
1929600,43509.9,135368.479,43509.9,4061.05437
1933200,46939.58,93638.887,46939.58,2809.16661
1936800,50594.19,185070.395,50594.19,5552.11185
1940400,54056.6,95471.5647,54056.6,2864.146941
1944000,57305.4,349100.668,57305.4,10473.02004
1947600,60147.61,221120.661,60147.61,6633.61983
1951200,62384.32,102181.217,62384.32,3065.43651
1954800,63798.46,426989.806,63798.46,12809.69418
1958400,64589.63,931296.564,64589.63,27938.89692
1962000,64448.68,1499763.31,64448.68,44992.8993
1965600,63071.21,1499763.31,63071.21,44992.8993
1969200,60697.83,1499763.31,60697.83,44992.8993
1972800,58417.14,1499763.31,58417.14,44992.8993
1976400,56679.9,1499763.31,56679.9,44992.8993
1980000,53696.48,1499763.31,53696.48,44992.8993
1983600,50729.67,1499763.31,50729.67,44992.8993
1987200,47806.46,1499763.31,47806.46,44992.8993
1990800,45494.35,1499763.31,45494.35,44992.8993
1994400,43535.33,1499763.31,43535.33,44992.8993
1998000,42144.92,1499763.31,42144.92,44992.8993
2001600,41224.14,1499763.31,41224.14,44992.8993
2005200,40744.72,1499763.31,40744.72,44992.8993
2008800,40329.55,1499763.31,40329.55,44992.8993
2012400,40800.57,1499763.31,40800.57,44992.8993
2016000,43478.07,1499763.31,43478.07,44992.8993
2019600,46822.97,1139250.83,46822.97,34177.5249
2023200,50643.37,1187542.4,50643.37,35626.272
2026800,54420.81,795771.244,54420.81,23873.13732
2030400,57664.73,629104.026,57664.73,18873.12078
2034000,60272.88,503163.7,60272.88,15094.911
2037600,62328.06,656876.19,62328.06,19706.2857
2041200,63703.58,753977.194,63703.58,22619.31582
2044800,64480.13,654654.514,64480.13,19639.63542
