Time,Load,Eeng,,
0,46484.42,255599.225,46484.42,7667.97675
3600,43858.66,245654.614,43858.66,7369.63842
7200,41962.97,241445.671,41962.97,7243.37013
10800,40768.65,266011.519,40768.65,7980.34557
14400,40354.11,148855.778,40354.11,4465.67334
18000,41257.4,343055.422,41257.4,10291.66266
21600,42871.89,407003.653,42871.89,12210.10959
25200,44185.26,504095.293,44185.26,15122.85879
28800,46625.33,666935.947,46625.33,20008.07841
32400,49763.03,800837.147,49763.03,24025.11441
36000,53350.65,777793.912,53350.65,23333.81736
39600,56833.02,405120.625,56833.02,12153.61875
43200,60008.6,1059324.45,60008.6,31779.7335
46800,63354.63,1499763.31,63354.63,44992.8993
50400,65981.09,1499763.31,65981.09,44992.8993
54000,67367.71,1499763.31,67367.71,44992.8993
57600,67872.72,1499763.31,67872.72,44992.8993
61200,67524.85,1499763.31,67524.85,44992.8993
64800,65739.41,1499763.31,65739.41,44992.8993
68400,63011.49,1499763.31,63011.49,44992.8993
72000,60416.09,1499763.31,60416.09,44992.8993
75600,58085.91,1499763.31,58085.91,44992.8993
79200,54630.31,1499763.31,54630.31,44992.8993
82800,50736.26,1499763.31,50736.26,44992.8993
86400,47227.53,1499763.31,47227.53,44992.8993
90000,44655.3,1499763.31,44655.3,44992.8993
93600,42720.67,1499763.31,42720.67,44992.8993
97200,41330.12,1499763.31,41330.12,44992.8993
100800,40456.86,1499763.31,40456.86,44992.8993
104400,40254.58,1499763.31,40254.58,44992.8993
108000,40279.04,1499763.31,40279.04,44992.8993
111600,41434.82,1499763.31,41434.82,44992.8993
115200,44566.15,1110072.44,44566.15,33302.1732
118800,48408.03,909941.652,48408.03,27298.24956
122400,52519.51,603876.598,52519.51,18116.29794
126000,56304.25,435389.367,56304.25,13061.68101
129600,59608.8,614806.761,59608.8,18444.20283
133200,62427.18,646551.231,62427.18,19396.53693
136800,64659.56,1105345.76,64659.56,33160.3728
140400,66179.02,1348334.13,66179.02,40450.0239
144000,66975.38,1499763.31,66975.38,44992.8993
147600,66880.16,1499763.31,66880.16,44992.8993
151200,65574.64,1499763.31,65574.64,44992.8993
154800,63206,1499763.31,63206,44992.8993
158400,60709.6,0,60709.6,0
162000,58340.62,1499763.31,58340.62,44992.8993
165600,54965.66,1499763.31,54965.66,44992.8993
169200,51247.93,1499763.31,51247.93,44992.8993
172800,47799.42,1499763.31,47799.42,44992.8993
176400,44871.79,1499763.31,44871.79,44992.8993
180000,42572.43,1499763.31,42572.43,44992.8993
183600,40746.26,1499763.31,40746.26,44992.8993
187200,39448.93,1499763.31,39448.93,44992.8993
190800,38691.6,1499763.31,38691.6,44992.8993
194400,38063.77,1499763.31,38063.77,44992.8993
198000,38420.74,1499763.31,38420.74,44992.8993
201600,40867.93,1499763.31,40867.93,44992.8993
205200,44239.01,1499763.31,44239.01,44992.8993
208800,47891.74,1499763.31,47891.74,44992.8993
212400,51428.05,1499763.31,51428.05,44992.8993
216000,54793.2,1499763.31,54793.2,44992.8993
219600,57722.18,1499763.31,57722.18,44992.8993
223200,60163.78,1499763.31,60163.78,44992.8993
226800,62100.81,1499763.31,62100.81,44992.8993
230400,63174.32,1499763.31,63174.32,44992.8993
234000,63328.73,1499763.31,63328.73,44992.8993
237600,62177.24,1499763.31,62177.24,44992.8993
241200,59986.79,1499763.31,59986.79,44992.8993
244800,57843.17,1499763.31,57843.17,44992.8993
248400,55088.76,1499763.31,55088.76,44992.8993
252000,50670.08,1499763.31,50670.08,44992.8993
255600,46197.25,1472929.22,46197.25,44187.8766
259200,42236.85,1136043.18,42236.85,34081.2954
262800,39342.06,646551.231,39342.06,19396.53693
266400,37606.41,278791.132,37606.41,8363.73396
270000,36519.39,600727.77,36519.39,18021.8331
273600,36303.01,260570.544,36303.01,7817.11632
277200,37455.49,97016.9379,37455.49,2910.508137
280800,39288,40262.6577,39288,1207.879731
284400,40612.11,0,40612.11,0
288000,42183.91,0,42183.91,0
291600,44372.44,0,44372.44,0
295200,46942.09,0,46942.09,0
298800,49203.49,71821.6275,49203.49,2154.648825
302400,51213.37,150515.35,51213.37,4515.4605
306000,53641.18,172615.564,53641.18,5178.46692
309600,55505.35,278581.829,55505.35,8357.45487
313200,56906.91,564126.496,56906.91,16923.79488
316800,57992.19,657988.911,57992.19,19739.66733
320400,58519.91,1366979.97,58519.91,41009.3991
324000,57998.48,1499763.31,57998.48,44992.8993
327600,56559.48,1499763.31,56559.48,44992.8993
331200,54777.88,1499763.31,54777.88,44992.8993
334800,53076.12,1499763.31,53076.12,44992.8993
338400,49367.43,1499763.31,49367.43,44992.8993
342000,45311.68,1499763.31,45311.68,44992.8993
345600,41966.17,1499763.31,41966.17,44992.8993
349200,39564,0,39564,0
352800,37935.75,1499763.31,37935.75,44992.8993
356400,37032.63,0,37032.63,0
360000,36900.01,1499763.31,36900.01,44992.8993
363600,38118.26,1499763.31,38118.26,44992.8993
367200,39959.43,1499763.31,39959.43,44992.8993
370800,41401.87,1499763.31,41401.87,44992.8993
374400,43765.14,1499763.31,43765.14,44992.8993
378000,46817.12,1255930.3,46817.12,37677.909
381600,50547.12,216843.326,50547.12,6505.29978
385200,54397.78,100899.963,54397.78,3026.99889
388800,57909.48,163503.634,57909.48,4905.10902
392400,61510.74,375521.766,61510.74,11265.65298
396000,64279.01,311839.202,64279.01,9355.17606
399600,66167.83,239737.783,66167.83,7192.13349
403200,67390.5,150515.35,67390.5,4515.4605
406800,67374.61,174600.217,67374.61,5238.00651
410400,66258.61,254415.592,66258.61,7632.46776
414000,63869.78,228373.914,63869.78,6851.21742
417600,61413.63,211400.552,61413.63,6342.01656
421200,59110.45,123449.83,59110.45,3703.4949
424800,54955.99,202645.791,54955.99,6079.37373
428400,50406.04,321640.458,50406.04,9649.21374
432000,46469.63,668059.996,46469.63,20041.79988
435600,43571.9,1499763.31,43571.9,44992.8993
439200,41366.25,1499763.31,41366.25,44992.8993
442800,40092.57,1499763.31,40092.57,44992.8993
446400,39769.46,1353729.85,39769.46,40611.8955
450000,40758.37,1499763.31,40758.37,44992.8993
453600,42321.01,1499763.31,42321.01,44992.8993
457200,43753.15,1499763.31,43753.15,44992.8993
460800,46138.77,1287600.61,46138.77,38628.0183
464400,49546.4,1067501.9,49546.4,32025.057
468000,53530.02,802106.973,53530.02,24063.20919
471600,57325.4,185070.395,57325.4,5552.11185
475200,60662.9,381167.33,60662.9,11435.0199
478800,63763.07,538078.88,63763.07,16142.3664
482400,66202.58,751541.519,66202.58,22546.24557
486000,67616.93,925693.859,67616.93,27770.81577
489600,67895.63,1281803.23,67895.63,38454.0969
493200,67538.52,1499763.31,67538.52,44992.8993
496800,66089.7,1499763.31,66089.7,44992.8993
500400,63824.38,1499763.31,63824.38,44992.8993
504000,61426.62,1499763.31,61426.62,44992.8993
507600,59139.68,1499763.31,59139.68,44992.8993
511200,54967.47,1499763.31,54967.47,44992.8993
514800,50570.25,1499763.31,50570.25,44992.8993
518400,46680.28,1499763.31,46680.28,44992.8993
522000,43719.71,1499763.31,43719.71,44992.8993
525600,41606.7,1499763.31,41606.7,44992.8993
529200,40288.76,1499763.31,40288.76,44992.8993
532800,39828.48,1499763.31,39828.48,44992.8993
536400,40760.31,1499763.31,40760.31,44992.8993
540000,42235.23,1499763.31,42235.23,44992.8993
543600,43832.23,1499763.31,43832.23,44992.8993
547200,46472.93,1499763.31,46472.93,44992.8993
550800,49858.81,1499763.31,49858.81,44992.8993
554400,53606.62,769113.565,53606.62,23073.40695
558000,56939.28,655764.725,56939.28,19672.94175
561600,59874.4,1228156.12,59874.4,36844.6836
565200,62664.77,1499763.31,62664.77,44992.8993
568800,64761.59,1499763.31,64761.59,44992.8993
572400,65949.5,1499763.31,65949.5,44992.8993
576000,66045.27,1499763.31,66045.27,44992.8993
579600,64432.54,1499763.31,64432.54,44992.8993
583200,61768.35,1499763.31,61768.35,44992.8993
586800,59150.51,1499763.31,59150.51,44992.8993
590400,56887.98,1499763.31,56887.98,44992.8993
594000,54794.5,1499763.31,54794.5,44992.8993
597600,50987.89,1499763.31,50987.89,44992.8993
601200,46872.6,1499763.31,46872.6,44992.8993
604800,43387.05,1499763.31,43387.05,44992.8993
608400,40871.41,1499763.31,40871.41,44992.8993
612000,39029.13,1499763.31,39029.13,44992.8993
615600,37923.67,1499763.31,37923.67,44992.8993
619200,37676.69,1499763.31,37676.69,44992.8993
622800,38529.03,1499763.31,38529.03,44992.8993
626400,39801.22,553145.973,39801.22,16594.37919
630000,41295.76,160877.511,41295.76,4826.32533
633600,44145.45,156991.287,44145.45,4709.73861
637200,47536.64,159142.478,47536.64,4774.27434
640800,51457.29,58724.0701,51457.29,1761.722103
644400,55145.63,0,55145.63,0
648000,58408.11,0,58408.11,0
651600,61231.93,0,61231.93,0
655200,63234.48,0,63234.48,0
658800,64570.27,0,64570.27,0
662400,65152.78,0,65152.78,0
666000,64563.33,89062.2585,64563.33,2671.867755
669600,62621.26,139285.655,62621.26,4178.56965
673200,59979.02,348371.519,59979.02,10451.14557
676800,57312.32,242016.764,57312.32,7260.50292
680400,55152.89,50138.1427,55152.89,1504.144281
684000,51765.38,0,51765.38,0
687600,48056.81,0,48056.81,0
691200,44682.2,0,44682.2,0
694800,41831.99,0,41831.99,0
698400,39857.9,0,39857.9,0
702000,38538.73,0,38538.73,0
705600,37843.35,0,37843.35,0
709200,37767.7,63596.3135,37767.7,1907.889405
712800,37869.99,108192.522,37869.99,3245.77566
716400,39139.43,63596.3135,39139.43,1907.889405
720000,42613.23,70725.3478,42613.23,2121.760434
723600,46719.84,98265.175,46719.84,2947.95525
727200,50614.04,152607.103,50614.04,4578.21309
730800,54109.85,99946.0827,54109.85,2998.382481
734400,56825.68,87893.3922,56825.68,2636.801766
738000,58380.72,75178.3201,58380.72,2255.349603
741600,59433.28,328598.787,59433.28,9857.96361
745200,60013.39,153871.408,60013.39,4616.14224
748800,60208.26,128004.874,60208.26,3840.14622
752400,59634.28,500375.81,59634.28,15011.2743
756000,58348.2,890276.99,58348.2,26708.3097
759600,56176.3,544922.928,56176.3,16347.68784
763200,53986.94,1280067.41,53986.94,38402.0223
766800,52632.19,804650.651,52632.19,24139.51953
770400,50003.9,1219176.49,50003.9,36575.2947
774000,46960.4,465359.656,46960.4,13960.78968
777600,44048.7,575590.764,44048.7,17267.72292
781200,41693.08,303566.658,41693.08,9106.99974
