counter,SecPGrecoveryTime,DG1recoveryTime,avg_temp_clad_CH1
0,827.828103491,699.258983123,2.39373991555
1,911.265738127,875.832217724,2.39359823671
2,790.299365989,487.204867387,2.39393899305
3,1217.03133436,916.290390096,2.39362185056
4,789.56564938,759.52123036,2.39369064885
5,745.367231269,999.544513168,2.39345825797
6,495.101057748,1020.6800809,2.39335493472
