x1,x2,x3,x4,x5,x6,obj,age,batchId,fitness,iteration,accepted,conv_objective
7.0,3.0,5.0,6.0,2.0,4.0,86.0,0.0,2.0,56.0,1.0,accepted,0.0
6.0,2.0,7.0,3.0,5.0,4.0,92.0,0.0,2.0,72.0,1.0,accepted,0.0
7.0,3.0,5.0,2.0,4.0,6.0,92.0,0.0,2.0,92.0,1.0,accepted,0.0
4.0,6.0,5.0,2.0,3.0,7.0,96.0,1.0,3.0,96.0,2.0,accepted,0.0
7.0,6.0,5.0,2.0,3.0,4.0,81.0,1.0,3.0,81.0,2.0,accepted,0.0
4.0,7.0,5.0,2.0,3.0,6.0,92.0,1.0,3.0,92.0,2.0,accepted,0.0
4.0,6.0,2.0,3.0,5.0,7.0,101.0,1.0,3.0,101.0,2.0,accepted,0.0
4.0,6.0,5.0,2.0,3.0,7.0,96.0,1.0,3.0,96.0,2.0,accepted,0.0
5.0,7.0,3.0,2.0,6.0,4.0,90.0,1.0,3.0,90.0,2.0,accepted,0.0
4.0,6.0,5.0,2.0,3.0,7.0,96.0,1.0,3.0,96.0,2.0,accepted,0.0
7.0,6.0,4.0,2.0,3.0,5.0,84.0,1.0,3.0,84.0,2.0,accepted,0.0
7.0,6.0,5.0,2.0,3.0,4.0,81.0,1.0,3.0,81.0,2.0,accepted,0.0
4.0,7.0,6.0,3.0,5.0,2.0,85.0,1.0,3.0,75.0,2.0,accepted,0.0
7.0,6.0,5.0,2.0,3.0,4.0,81.0,1.0,3.0,81.0,2.0,accepted,0.0
5.0,6.0,3.0,2.0,7.0,4.0,93.0,1.0,3.0,93.0,2.0,accepted,0.0
7.0,6.0,5.0,2.0,3.0,4.0,81.0,1.0,3.0,81.0,2.0,accepted,0.0
7.0,6.0,4.0,2.0,3.0,5.0,84.0,1.0,3.0,84.0,2.0,accepted,0.0
4.0,7.0,2.0,6.0,5.0,3.0,91.0,1.0,3.0,91.0,2.0,accepted,0.0
5.0,7.0,3.0,6.0,2.0,4.0,86.0,1.0,3.0,76.0,2.0,accepted,0.0
4.0,6.0,5.0,2.0,3.0,7.0,96.0,1.0,3.0,96.0,2.0,accepted,0.0
7.0,5.0,2.0,3.0,6.0,4.0,89.0,1.0,3.0,89.0,2.0,accepted,0.0
5.0,6.0,4.0,2.0,3.0,7.0,94.0,1.0,3.0,94.0,2.0,accepted,0.0
7.0,5.0,4.0,2.0,6.0,3.0,85.0,1.0,3.0,85.0,2.0,accepted,0.0
5.0,7.0,4.0,2.0,6.0,3.0,87.0,1.0,4.0,87.0,3.0,accepted,0.0
4.0,7.0,3.0,2.0,6.0,5.0,95.0,1.0,4.0,95.0,3.0,accepted,0.0
5.0,7.0,6.0,2.0,3.0,4.0,84.0,1.0,4.0,84.0,3.0,accepted,0.0
4.0,7.0,3.0,2.0,6.0,5.0,95.0,1.0,4.0,95.0,3.0,accepted,0.0
5.0,6.0,3.0,2.0,7.0,4.0,93.0,1.0,4.0,93.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,3.0,6.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
5.0,7.0,3.0,2.0,4.0,6.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
6.0,7.0,4.0,2.0,3.0,5.0,85.0,1.0,4.0,85.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,3.0,6.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,1.0,4.0,89.0,3.0,accepted,0.0
4.0,6.0,5.0,2.0,7.0,3.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
4.0,7.0,3.0,2.0,6.0,5.0,95.0,1.0,4.0,95.0,3.0,accepted,0.0
4.0,5.0,3.0,2.0,7.0,6.0,102.0,1.0,4.0,102.0,3.0,accepted,0.0
6.0,7.0,5.0,2.0,3.0,4.0,82.0,1.0,4.0,82.0,3.0,accepted,0.0
4.0,6.0,5.0,2.0,7.0,3.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,1.0,4.0,89.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,3.0,6.0,92.0,1.0,4.0,92.0,3.0,accepted,0.0
6.0,7.0,5.0,2.0,3.0,4.0,82.0,1.0,4.0,82.0,3.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,1.0,4.0,89.0,3.0,accepted,0.0
3.0,6.0,5.0,2.0,4.0,7.0,100.0,1.0,4.0,100.0,3.0,accepted,0.0
4.0,5.0,7.0,3.0,2.0,6.0,93.0,0.0,5.0,73.0,4.0,accepted,0.0
4.0,5.0,6.0,2.0,3.0,7.0,97.0,0.0,5.0,97.0,4.0,accepted,0.0
4.0,5.0,3.0,2.0,7.0,6.0,102.0,0.0,5.0,102.0,4.0,accepted,0.0
4.0,6.0,7.0,3.0,5.0,2.0,86.0,0.0,5.0,66.0,4.0,accepted,0.0
4.0,5.0,7.0,2.0,6.0,3.0,91.0,0.0,5.0,81.0,4.0,accepted,0.0
4.0,3.0,7.0,5.0,2.0,6.0,97.0,0.0,5.0,57.0,4.0,accepted,0.0
4.0,5.0,7.0,3.0,2.0,6.0,93.0,0.0,5.0,73.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,5.0,6.0,2.0,3.0,7.0,97.0,0.0,5.0,97.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,5.0,6.0,2.0,3.0,7.0,97.0,0.0,5.0,97.0,4.0,accepted,0.0
4.0,5.0,7.0,2.0,3.0,6.0,94.0,0.0,5.0,84.0,4.0,accepted,0.0
4.0,5.0,6.0,2.0,3.0,7.0,97.0,0.0,5.0,97.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,5.0,90.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,0.0,5.0,100.0,4.0,accepted,0.0
4.0,5.0,6.0,2.0,3.0,7.0,97.0,0.0,5.0,97.0,4.0,accepted,0.0
4.0,6.0,7.0,2.0,5.0,3.0,88.0,0.0,5.0,78.0,4.0,accepted,0.0
4.0,6.0,7.0,3.0,5.0,2.0,86.0,0.0,6.0,66.0,5.0,accepted,0.0
5.0,3.0,7.0,2.0,4.0,6.0,96.0,0.0,6.0,86.0,5.0,accepted,0.0
4.0,6.0,7.0,3.0,5.0,2.0,86.0,0.0,6.0,66.0,5.0,accepted,0.0
4.0,6.0,7.0,2.0,5.0,3.0,88.0,0.0,6.0,78.0,5.0,accepted,0.0
4.0,6.0,7.0,3.0,5.0,2.0,86.0,0.0,6.0,66.0,5.0,accepted,0.0
4.0,5.0,6.0,3.0,7.0,2.0,91.0,0.0,6.0,81.0,5.0,accepted,0.0
4.0,6.0,7.0,2.0,5.0,3.0,88.0,0.0,6.0,78.0,5.0,accepted,0.0
4.0,3.0,7.0,6.0,5.0,2.0,92.0,0.0,6.0,42.0,5.0,accepted,0.0
5.0,3.0,7.0,6.0,4.0,2.0,88.0,0.0,6.0,38.0,5.0,accepted,0.0
4.0,6.0,7.0,2.0,5.0,3.0,88.0,0.0,6.0,78.0,5.0,accepted,0.0
5.0,3.0,7.0,6.0,4.0,2.0,88.0,0.0,6.0,38.0,5.0,accepted,0.0
4.0,6.0,2.0,3.0,7.0,5.0,99.0,0.0,6.0,99.0,5.0,accepted,0.0
5.0,3.0,2.0,7.0,4.0,6.0,101.0,0.0,6.0,91.0,5.0,accepted,0.0
4.0,3.0,7.0,6.0,2.0,5.0,95.0,0.0,6.0,45.0,5.0,accepted,0.0
4.0,6.0,2.0,3.0,7.0,5.0,99.0,0.0,6.0,99.0,5.0,accepted,0.0
4.0,5.0,7.0,2.0,6.0,3.0,91.0,0.0,6.0,81.0,5.0,accepted,0.0
4.0,6.0,3.0,2.0,7.0,5.0,98.0,0.0,6.0,98.0,5.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,6.0,90.0,5.0,accepted,0.0
4.0,5.0,6.0,3.0,7.0,2.0,91.0,0.0,6.0,81.0,5.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,6.0,101.0,5.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
7.0,6.0,5.0,2.0,4.0,3.0,80.0,0.0,7.0,80.0,6.0,accepted,0.0
5.0,3.0,4.0,2.0,7.0,6.0,102.0,0.0,7.0,102.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
7.0,3.0,5.0,2.0,4.0,6.0,92.0,0.0,7.0,92.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
5.0,3.0,7.0,2.0,4.0,6.0,96.0,0.0,7.0,86.0,6.0,accepted,0.0
7.0,6.0,3.0,2.0,4.0,5.0,86.0,0.0,7.0,86.0,6.0,accepted,0.0
5.0,3.0,6.0,2.0,4.0,7.0,99.0,0.0,7.0,99.0,6.0,accepted,0.0
7.0,6.0,3.0,2.0,4.0,5.0,86.0,0.0,7.0,86.0,6.0,accepted,0.0
7.0,6.0,3.0,2.0,5.0,4.0,85.0,0.0,7.0,85.0,6.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,0.0,7.0,96.0,6.0,accepted,0.0
4.0,3.0,5.0,2.0,7.0,6.0,104.0,0.0,8.0,104.0,7.0,accepted,0.0
4.0,6.0,7.0,2.0,3.0,5.0,90.0,0.0,8.0,80.0,7.0,accepted,0.0
4.0,3.0,2.0,5.0,7.0,6.0,107.0,0.0,8.0,107.0,7.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,8.0,90.0,7.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,8.0,101.0,7.0,accepted,0.0
5.0,3.0,7.0,2.0,6.0,4.0,94.0,0.0,8.0,84.0,7.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,8.0,90.0,7.0,accepted,0.0
3.0,6.0,7.0,2.0,5.0,4.0,93.0,0.0,8.0,83.0,7.0,accepted,0.0
4.0,6.0,7.0,2.0,3.0,5.0,90.0,0.0,8.0,80.0,7.0,accepted,0.0
5.0,3.0,4.0,2.0,6.0,7.0,103.0,0.0,8.0,103.0,7.0,accepted,0.0
4.0,6.0,7.0,2.0,5.0,3.0,88.0,0.0,8.0,78.0,7.0,accepted,0.0
5.0,3.0,7.0,2.0,4.0,6.0,96.0,0.0,8.0,86.0,7.0,accepted,0.0
4.0,6.0,5.0,2.0,3.0,7.0,96.0,0.0,8.0,96.0,7.0,accepted,0.0
3.0,6.0,5.0,2.0,4.0,7.0,100.0,0.0,8.0,100.0,7.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,8.0,90.0,7.0,accepted,0.0
5.0,3.0,6.0,2.0,4.0,7.0,99.0,0.0,8.0,99.0,7.0,accepted,0.0
4.0,3.0,7.0,2.0,5.0,6.0,100.0,0.0,8.0,90.0,7.0,accepted,0.0
3.0,6.0,4.0,2.0,5.0,7.0,102.0,0.0,8.0,102.0,7.0,accepted,0.0
5.0,3.0,4.0,2.0,6.0,7.0,103.0,0.0,8.0,103.0,7.0,accepted,0.0
3.0,6.0,4.0,2.0,5.0,7.0,102.0,0.0,8.0,102.0,7.0,accepted,0.0
4.0,6.0,2.0,3.0,7.0,5.0,99.0,0.0,9.0,99.0,8.0,accepted,0.0
3.0,6.0,4.0,2.0,5.0,7.0,102.0,0.0,9.0,102.0,8.0,accepted,0.0
4.0,6.0,2.0,3.0,7.0,5.0,99.0,0.0,9.0,99.0,8.0,accepted,0.0
4.0,3.0,6.0,2.0,5.0,7.0,103.0,0.0,9.0,103.0,8.0,accepted,0.0
4.0,6.0,2.0,3.0,7.0,5.0,99.0,0.0,9.0,99.0,8.0,accepted,0.0
4.0,3.0,2.0,5.0,6.0,7.0,108.0,0.0,9.0,108.0,8.0,accepted,0.0
4.0,6.0,2.0,3.0,5.0,7.0,101.0,0.0,9.0,101.0,8.0,accepted,0.0
4.0,5.0,3.0,2.0,7.0,6.0,102.0,0.0,9.0,102.0,8.0,accepted,0.0
3.0,6.0,4.0,2.0,5.0,7.0,102.0,0.0,9.0,102.0,8.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,9.0,101.0,8.0,accepted,0.0
3.0,6.0,2.0,5.0,4.0,7.0,103.0,0.0,9.0,103.0,8.0,accepted,0.0
4.0,6.0,2.0,5.0,7.0,3.0,95.0,0.0,9.0,95.0,8.0,accepted,0.0
3.0,6.0,7.0,2.0,5.0,4.0,93.0,0.0,9.0,83.0,8.0,accepted,0.0
4.0,5.0,3.0,2.0,7.0,6.0,102.0,0.0,9.0,102.0,8.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,9.0,101.0,8.0,accepted,0.0
4.0,3.0,2.0,5.0,6.0,7.0,108.0,0.0,9.0,108.0,8.0,accepted,0.0
4.0,3.0,6.0,2.0,5.0,7.0,103.0,0.0,9.0,103.0,8.0,accepted,0.0
4.0,2.0,3.0,5.0,6.0,7.0,109.0,0.0,9.0,109.0,8.0,accepted,0.0
4.0,3.0,7.0,2.0,6.0,5.0,99.0,0.0,9.0,89.0,8.0,accepted,0.0
4.0,5.0,2.0,7.0,6.0,3.0,96.0,0.0,9.0,86.0,8.0,accepted,0.0
4.0,5.0,2.0,6.0,7.0,3.0,97.0,0.0,10.0,97.0,9.0,accepted,0.0
3.0,6.0,5.0,2.0,4.0,7.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
4.0,5.0,3.0,2.0,6.0,7.0,103.0,0.0,10.0,103.0,9.0,accepted,0.0
4.0,3.0,5.0,2.0,6.0,7.0,105.0,0.0,10.0,105.0,9.0,accepted,0.0
4.0,5.0,6.0,2.0,7.0,3.0,93.0,0.0,10.0,93.0,9.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,10.0,101.0,9.0,accepted,0.0
4.0,3.0,2.0,6.0,7.0,5.0,105.0,0.0,10.0,105.0,9.0,accepted,0.0
5.0,3.0,6.0,2.0,7.0,4.0,96.0,0.0,10.0,96.0,9.0,accepted,0.0
3.0,6.0,2.0,5.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,0.0,10.0,89.0,9.0,accepted,0.0
3.0,6.0,2.0,5.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,10.0,101.0,9.0,accepted,0.0
3.0,6.0,2.0,5.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
5.0,3.0,2.0,6.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
2.0,3.0,6.0,4.0,5.0,7.0,109.0,0.0,10.0,89.0,9.0,accepted,0.0
2.0,3.0,5.0,4.0,6.0,7.0,111.0,0.0,10.0,101.0,9.0,accepted,0.0
2.0,3.0,5.0,4.0,7.0,6.0,110.0,0.0,10.0,100.0,9.0,accepted,0.0
5.0,3.0,2.0,6.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,0.0,10.0,101.0,9.0,accepted,0.0
5.0,3.0,2.0,6.0,7.0,4.0,100.0,0.0,10.0,100.0,9.0,accepted,0.0
5.0,3.0,4.0,6.0,2.0,7.0,99.0,9.0,11.0,79.0,10.0,accepted,0.0
4.0,3.0,5.0,7.0,2.0,6.0,99.0,9.0,11.0,59.0,10.0,accepted,0.0
5.0,3.0,2.0,7.0,4.0,6.0,101.0,9.0,11.0,91.0,10.0,accepted,0.0
4.0,3.0,7.0,6.0,2.0,5.0,95.0,9.0,11.0,45.0,10.0,accepted,0.0
5.0,3.0,4.0,6.0,2.0,7.0,99.0,9.0,11.0,79.0,10.0,accepted,0.0
3.0,6.0,2.0,4.0,5.0,7.0,104.0,9.0,11.0,104.0,10.0,accepted,0.0
5.0,3.0,6.0,4.0,2.0,7.0,97.0,9.0,11.0,77.0,10.0,accepted,0.0
4.0,3.0,7.0,6.0,2.0,5.0,95.0,9.0,11.0,45.0,10.0,accepted,0.0
4.0,3.0,5.0,7.0,2.0,6.0,99.0,9.0,11.0,59.0,10.0,accepted,0.0
4.0,3.0,5.0,7.0,2.0,6.0,99.0,9.0,11.0,59.0,10.0,accepted,0.0
4.0,6.0,2.0,7.0,5.0,3.0,93.0,9.0,11.0,83.0,10.0,accepted,0.0
3.0,7.0,5.0,6.0,2.0,4.0,90.0,9.0,11.0,60.0,10.0,accepted,0.0
4.0,3.0,7.0,2.0,6.0,5.0,99.0,9.0,11.0,89.0,10.0,accepted,0.0
4.0,3.0,5.0,7.0,2.0,6.0,99.0,9.0,11.0,59.0,10.0,accepted,0.0
4.0,6.0,2.0,5.0,3.0,7.0,99.0,9.0,11.0,99.0,10.0,accepted,0.0
3.0,7.0,5.0,2.0,4.0,6.0,96.0,9.0,11.0,96.0,10.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,9.0,11.0,101.0,10.0,accepted,0.0
4.0,3.0,5.0,6.0,2.0,7.0,101.0,9.0,11.0,71.0,10.0,accepted,0.0
3.0,6.0,2.0,7.0,5.0,4.0,98.0,9.0,11.0,88.0,10.0,accepted,0.0
4.0,3.0,5.0,6.0,2.0,7.0,101.0,9.0,11.0,71.0,10.0,accepted,0.0
4.0,3.0,2.0,6.0,7.0,5.0,105.0,9.0,12.0,105.0,11.0,accepted,0.0
4.0,3.0,5.0,2.0,7.0,6.0,104.0,9.0,12.0,104.0,11.0,accepted,0.0
4.0,3.0,6.0,5.0,2.0,7.0,100.0,9.0,12.0,70.0,11.0,accepted,0.0
4.0,5.0,3.0,7.0,6.0,2.0,93.0,9.0,12.0,73.0,11.0,accepted,0.0
4.0,3.0,2.0,7.0,6.0,5.0,104.0,9.0,12.0,94.0,11.0,accepted,0.0
4.0,3.0,6.0,7.0,5.0,2.0,93.0,9.0,12.0,43.0,11.0,accepted,0.0
4.0,3.0,2.0,7.0,6.0,5.0,104.0,9.0,12.0,94.0,11.0,accepted,0.0
4.0,3.0,6.0,2.0,5.0,7.0,103.0,9.0,12.0,103.0,11.0,accepted,0.0
4.0,3.0,5.0,7.0,6.0,2.0,95.0,9.0,12.0,55.0,11.0,accepted,0.0
4.0,5.0,3.0,6.0,7.0,2.0,94.0,9.0,12.0,84.0,11.0,accepted,0.0
4.0,3.0,5.0,7.0,2.0,6.0,99.0,9.0,12.0,59.0,11.0,accepted,0.0
4.0,3.0,6.0,7.0,5.0,2.0,93.0,9.0,12.0,43.0,11.0,accepted,0.0
4.0,3.0,5.0,7.0,6.0,2.0,95.0,9.0,12.0,55.0,11.0,accepted,0.0
4.0,3.0,5.0,6.0,7.0,2.0,96.0,9.0,12.0,66.0,11.0,accepted,0.0
4.0,3.0,6.0,7.0,5.0,2.0,93.0,9.0,12.0,43.0,11.0,accepted,0.0
4.0,5.0,3.0,7.0,6.0,2.0,93.0,9.0,12.0,73.0,11.0,accepted,0.0
4.0,5.0,3.0,7.0,6.0,2.0,93.0,9.0,12.0,73.0,11.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,9.0,12.0,101.0,11.0,accepted,0.0
4.0,3.0,6.0,7.0,5.0,2.0,93.0,9.0,12.0,43.0,11.0,accepted,0.0
4.0,3.0,5.0,7.0,6.0,2.0,95.0,9.0,12.0,55.0,11.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,6.0,5.0,2.0,7.0,3.0,92.0,4.0,13.0,92.0,12.0,accepted,0.0
4.0,6.0,5.0,2.0,7.0,3.0,92.0,4.0,13.0,92.0,12.0,accepted,0.0
4.0,6.0,2.0,5.0,7.0,3.0,95.0,4.0,13.0,95.0,12.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,4.0,13.0,89.0,12.0,accepted,0.0
4.0,3.0,6.0,2.0,7.0,5.0,101.0,4.0,13.0,101.0,12.0,accepted,0.0
4.0,7.0,5.0,2.0,6.0,3.0,89.0,4.0,13.0,89.0,12.0,accepted,0.0
4.0,6.0,2.0,5.0,7.0,3.0,95.0,4.0,13.0,95.0,12.0,accepted,0.0
4.0,6.0,7.0,5.0,3.0,2.0,84.0,4.0,13.0,44.0,12.0,accepted,0.0
4.0,3.0,2.0,7.0,5.0,6.0,105.0,4.0,13.0,95.0,12.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,7.0,2.0,5.0,6.0,3.0,92.0,4.0,13.0,92.0,12.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,6.0,2.0,5.0,7.0,3.0,95.0,4.0,13.0,95.0,12.0,accepted,0.0
4.0,7.0,2.0,5.0,6.0,3.0,92.0,4.0,13.0,92.0,12.0,accepted,0.0
4.0,7.0,2.0,5.0,3.0,6.0,95.0,4.0,13.0,95.0,12.0,accepted,0.0
4.0,7.0,6.0,2.0,5.0,3.0,87.0,4.0,13.0,87.0,12.0,accepted,0.0
4.0,7.0,2.0,5.0,3.0,6.0,95.0,4.0,13.0,95.0,12.0,accepted,0.0
5.0,6.0,4.0,2.0,3.0,7.0,94.0,5.0,14.0,94.0,13.0,accepted,0.0
4.0,7.0,2.0,5.0,3.0,6.0,95.0,5.0,14.0,95.0,13.0,accepted,0.0
5.0,7.0,6.0,2.0,3.0,4.0,84.0,5.0,14.0,84.0,13.0,accepted,0.0
4.0,6.0,3.0,2.0,5.0,7.0,100.0,5.0,14.0,100.0,13.0,accepted,0.0
5.0,7.0,2.0,6.0,3.0,4.0,88.0,5.0,14.0,88.0,13.0,accepted,0.0
4.0,6.0,7.0,2.0,3.0,5.0,90.0,5.0,14.0,80.0,13.0,accepted,0.0
5.0,6.0,3.0,2.0,4.0,7.0,96.0,5.0,14.0,96.0,13.0,accepted,0.0
4.0,6.0,7.0,2.0,3.0,5.0,90.0,5.0,14.0,80.0,13.0,accepted,0.0
