tREC,tSBO,goalFunction,EventProbability
321.629979196,126.174878641,0.0,0.572879
599.214712205,205.864275677,0.0,0.572879
602.819708738,205.864275677,0.0,0.572879
606.42470527,206.812958975,0.0,0.572879
610.029701803,206.812958975,0.0,0.572879
613.634698335,207.761642273,0.0,0.572879
617.239694868,207.761642273,0.0,0.572879
620.844691401,208.710325571,0.0,0.572879
624.449687933,208.710325571,0.0,0.572879
628.054684466,209.659008869,0.0,0.572879
631.659680998,209.659008869,0.0,0.572879
325.234975728,127.123561939,0.0,0.572879
635.264677531,210.607692167,0.0,0.572879
638.869674064,210.607692167,0.0,0.572879
642.474670596,211.556375465,0.0,0.572879
646.079667129,211.556375465,0.0,0.572879
649.684663661,212.505058763,0.0,0.572879
653.289660194,212.505058763,0.0,0.572879
656.894656727,213.453742061,0.0,0.572879
660.499653259,213.453742061,0.0,0.572879
664.104649792,213.453742061,0.0,0.572879
667.709646324,214.402425359,0.0,0.572879
328.839972261,128.072245237,0.0,0.572879
671.314642857,214.402425359,0.0,0.572879
674.91963939,215.351108657,0.0,0.572879
678.524635922,215.351108657,0.0,0.572879
682.129632455,215.351108657,0.0,0.572879
685.734628987,216.299791956,0.0,0.572879
689.33962552,216.299791956,0.0,0.572879
692.944622053,217.248475254,0.0,0.572879
696.549618585,217.248475254,0.0,0.572879
700.154615118,217.248475254,0.0,0.572879
703.75961165,218.197158552,0.0,0.572879
332.444968793,129.020928535,0.0,0.572879
707.364608183,218.197158552,0.0,0.572879
710.969604715,218.197158552,0.0,0.572879
714.574601248,219.14584185,0.0,0.572879
718.179597781,219.14584185,0.0,0.572879
721.784594313,219.14584185,0.0,0.572879
725.389590846,220.094525148,0.0,0.572879
728.994587378,220.094525148,0.0,0.572879
732.599583911,220.094525148,0.0,0.572879
736.204580444,221.043208446,0.0,0.572879
739.809576976,221.043208446,0.0,0.572879
336.049965326,129.969611833,0.0,0.572879
743.414573509,221.043208446,0.0,0.572879
747.019570041,221.991891744,0.0,0.572879
750.624566574,221.991891744,0.0,0.572879
754.229563107,221.991891744,0.0,0.572879
757.834559639,221.991891744,0.0,0.572879
761.439556172,222.940575042,0.0,0.572879
765.044552704,222.940575042,0.0,0.572879
768.649549237,222.940575042,0.0,0.572879
772.25454577,223.88925834,0.0,0.572879
775.859542302,223.88925834,0.0,0.572879
336.049965326,130.918295131,0.0,0.572879
779.464538835,223.88925834,0.0,0.572879
783.069535367,223.88925834,0.0,0.572879
786.6745319,224.837941638,0.0,0.572879
790.279528433,224.837941638,0.0,0.572879
