tREC,tSBO,goalFunction,EventProbability
793.884524965,224.837941638,0.0,0.572879
797.489521498,224.837941638,0.0,0.572879
801.09451803,225.786624936,0.0,0.572879
804.699514563,225.786624936,0.0,0.572879
808.304511095,225.786624936,0.0,0.572879
811.909507628,225.786624936,0.0,0.572879
339.654961859,131.866978429,0.0,0.572879
815.514504161,226.735308234,0.0,0.572879
819.119500693,226.735308234,0.0,0.572879
822.724497226,226.735308234,0.0,0.572879
826.329493758,226.735308234,0.0,0.572879
829.934490291,226.735308234,0.0,0.572879
833.539486824,227.683991532,0.0,0.572879
837.144483356,227.683991532,0.0,0.572879
840.749479889,227.683991532,0.0,0.572879
844.354476421,227.683991532,0.0,0.572879
847.959472954,227.683991532,0.0,0.572879
343.259958391,132.815661727,0.0,0.572879
851.564469487,228.63267483,0.0,0.572879
855.169466019,228.63267483,0.0,0.572879
858.774462552,228.63267483,0.0,0.572879
862.379459084,228.63267483,0.0,0.572879
865.984455617,228.63267483,0.0,0.572879
869.58945215,229.581358128,0.0,0.572879
873.194448682,229.581358128,0.0,0.572879
876.799445215,229.581358128,0.0,0.572879
880.404441747,229.581358128,0.0,0.572879
884.00943828,229.581358128,0.0,0.572879
346.864954924,133.764345025,0.0,0.572879
887.614434812,230.530041426,0.0,0.572879
891.219431345,230.530041426,0.0,0.572879
894.824427878,230.530041426,0.0,0.572879
898.42942441,230.530041426,0.0,0.572879
902.034420943,230.530041426,0.0,0.572879
905.639417475,230.530041426,0.0,0.572879
909.244414008,231.478724724,0.0,0.572879
912.849410541,231.478724724,0.0,0.572879
916.454407073,231.478724724,0.0,0.572879
920.059403606,231.478724724,0.0,0.572879
346.864954924,134.713028323,0.0,0.572879
923.664400138,231.478724724,0.0,0.572879
927.269396671,231.478724724,0.0,0.572879
930.874393204,232.427408022,0.0,0.572879
934.479389736,232.427408022,0.0,0.572879
938.084386269,232.427408022,0.0,0.572879
941.689382801,232.427408022,0.0,0.572879
945.294379334,232.427408022,0.0,0.572879
948.899375867,232.427408022,0.0,0.572879
952.504372399,233.37609132,0.0,0.572879
956.109368932,233.37609132,0.0,0.572879
300.0,118.585412256,0.0,0.572879
350.469951456,135.661711621,0.0,0.572879
959.714365464,233.37609132,0.0,0.572879
963.319361997,233.37609132,0.0,0.572879
966.92435853,233.37609132,0.0,0.572879
970.529355062,233.37609132,0.0,0.572879
974.134351595,233.37609132,0.0,0.572879
977.739348127,234.324774618,0.0,0.572879
981.34434466,234.324774618,0.0,0.572879
984.949341192,234.324774618,0.0,0.572879
988.554337725,234.324774618,0.0,0.572879
992.159334258,234.324774618,0.0,0.572879
354.074947989,136.610394919,0.0,0.572879
995.76433079,234.324774618,0.0,0.572879
999.369327323,234.324774618,0.0,0.572879
1002.97432386,235.273457917,0.0,0.572879
1006.57932039,235.273457917,0.0,0.572879
1010.18431692,235.273457917,0.0,0.572879
1013.78931345,235.273457917,0.0,0.572879
1017.39430999,235.273457917,0.0,0.572879
1020.99930652,235.273457917,0.0,0.572879
1024.60430305,235.273457917,0.0,0.572879
1028.20929958,235.273457917,0.0,0.572879
354.074947989,137.559078217,0.0,0.572879
1031.81429612,236.222141215,0.0,0.572879
1035.41929265,236.222141215,0.0,0.572879
1039.02428918,236.222141215,0.0,0.572879
1042.62928571,236.222141215,0.0,0.572879
1046.23428225,236.222141215,0.0,0.572879
1049.83927878,236.222141215,0.0,0.572879
1053.44427531,236.222141215,0.0,0.572879
1057.04927184,236.222141215,0.0,0.572879
1060.65426838,236.222141215,0.0,0.572879
1064.25926491,237.170824513,0.0,0.572879
357.679944521,138.507761515,0.0,0.572879
1067.86426144,237.170824513,0.0,0.572879
1071.46925797,237.170824513,0.0,0.572879
1075.07425451,237.170824513,0.0,0.572879
1078.67925104,237.170824513,0.0,0.572879
1082.28424757,237.170824513,0.0,0.572879
1085.88924411,237.170824513,0.0,0.572879
1089.49424064,237.170824513,0.0,0.572879
1093.09923717,237.170824513,0.0,0.572879
1096.7042337,238.119507811,0.0,0.572879
1100.30923024,238.119507811,0.0,0.572879
361.284941054,139.456444813,0.0,0.572879
1103.91422677,238.119507811,0.0,0.572879
1107.5192233,238.119507811,0.0,0.572879
1111.12421983,238.119507811,0.0,0.572879
1114.72921637,238.119507811,0.0,0.572879
1118.3342129,238.119507811,0.0,0.572879
1121.93920943,238.119507811,0.0,0.572879
1125.54420596,238.119507811,0.0,0.572879
1129.1492025,238.119507811,0.0,0.572879
1132.75419903,238.119507811,0.0,0.572879
1136.35919556,239.068191109,0.0,0.572879
364.889937587,140.405128111,0.0,0.572879
1139.96419209,239.068191109,0.0,0.572879
1143.56918863,239.068191109,0.0,0.572879
1147.17418516,239.068191109,0.0,0.572879
1150.77918169,239.068191109,0.0,0.572879
1154.38417822,239.068191109,0.0,0.572879
1157.98917476,239.068191109,0.0,0.572879
1161.59417129,239.068191109,0.0,0.572879
1165.19916782,239.068191109,0.0,0.572879
1168.80416435,239.068191109,0.0,0.572879
1172.40916089,239.068191109,0.0,0.572879
364.889937587,141.35381141,0.0,0.572879
1176.01415742,239.068191109,0.0,0.572879
1179.61915395,240.016874407,0.0,0.572879
1183.22415049,240.016874407,0.0,0.572879
1186.82914702,240.016874407,0.0,0.572879
1190.43414355,240.016874407,0.0,0.572879
1194.03914008,240.016874407,0.0,0.572879
1197.64413662,240.016874407,0.0,0.572879
1201.24913315,240.016874407,0.0,0.572879
1204.85412968,240.016874407,0.0,0.572879
1208.45912621,240.016874407,0.0,0.572879
368.494934119,142.302494708,0.0,0.572879
1212.06412275,240.016874407,0.0,0.572879
1215.66911928,240.016874407,0.0,0.572879
1219.27411581,240.016874407,0.0,0.572879
1222.87911234,240.016874407,0.0,0.572879
1226.48410888,240.016874407,0.0,0.572879
1230.08910541,240.965557705,0.0,0.572879
1233.69410194,240.965557705,0.0,0.572879
1237.29909847,240.965557705,0.0,0.572879
1240.90409501,240.965557705,0.0,0.572879
1244.50909154,240.965557705,0.0,0.572879
372.099930652,143.251178006,0.0,0.572879
1248.11408807,240.965557705,0.0,0.572879
1251.7190846,240.965557705,0.0,0.572879
1255.32408114,240.965557705,0.0,0.572879
1258.92907767,240.965557705,0.0,0.572879
1262.5340742,240.965557705,0.0,0.572879
1266.13907073,240.965557705,0.0,0.572879
1269.74406727,240.965557705,0.0,0.572879
1273.3490638,240.965557705,0.0,0.572879
1276.95406033,240.965557705,0.0,0.572879
1280.55905687,240.965557705,0.0,0.572879
372.099930652,144.199861304,0.0,0.572879
1284.1640534,240.965557705,0.0,0.572879
1287.76904993,240.965557705,0.0,0.572879
1291.37404646,240.965557705,0.0,0.572879
1294.979043,241.914241003,0.0,0.572879
1298.58403953,241.914241003,0.0,0.572879
1302.18903606,241.914241003,0.0,0.572879
1305.79403259,241.914241003,0.0,0.572879
1309.39902913,241.914241003,0.0,0.572879
1313.00402566,241.914241003,0.0,0.572879
1316.60902219,241.914241003,0.0,0.572879
303.604996533,119.534095554,0.0,0.572879
375.704927184,145.148544602,0.0,0.572879
1320.21401872,241.914241003,0.0,0.572879
1323.81901526,241.914241003,0.0,0.572879
1327.42401179,241.914241003,0.0,0.572879
1331.02900832,241.914241003,0.0,0.572879
1334.63400485,241.914241003,0.0,0.572879
1338.23900139,241.914241003,0.0,0.572879
1341.84399792,241.914241003,0.0,0.572879
1345.44899445,241.914241003,0.0,0.572879
1349.05399098,241.914241003,0.0,0.572879
1352.65898752,241.914241003,0.0,0.572879
379.309923717,146.0972279,0.0,0.572879
1356.26398405,241.914241003,0.0,0.572879
1359.86898058,241.914241003,0.0,0.572879
1363.47397711,241.914241003,0.0,0.572879
1367.07897365,241.914241003,0.0,0.572879
1370.68397018,241.914241003,0.0,0.572879
1374.28896671,241.914241003,0.0,0.572879
1377.89396324,241.914241003,0.0,0.572879
1381.49895978,241.914241003,0.0,0.572879
1385.10395631,241.914241003,0.0,0.572879
1388.70895284,241.914241003,0.0,0.572879
382.91492025,147.045911198,0.0,0.572879
1392.31394938,241.914241003,0.0,0.572879
1395.91894591,241.914241003,0.0,0.572879
1399.52394244,241.914241003,0.0,0.572879
1403.12893897,241.914241003,0.0,0.572879
1406.73393551,241.914241003,0.0,0.572879
1410.33893204,241.914241003,0.0,0.572879
1413.94392857,241.914241003,0.0,0.572879
1417.5489251,241.914241003,0.0,0.572879
1421.15392164,241.914241003,0.0,0.572879
1424.75891817,241.914241003,0.0,0.572879
382.91492025,147.994594496,0.0,0.572879
1428.3639147,241.914241003,0.0,0.572879
1431.96891123,241.914241003,0.0,0.572879
1435.57390777,241.914241003,0.0,0.572879
1439.1789043,241.914241003,0.0,0.572879
300.0,117.636728958,1.0,0.572879
303.604996533,118.585412256,1.0,0.572879
307.209993065,119.534095554,1.0,0.572879
310.814989598,120.482778852,1.0,0.572879
310.814989598,121.43146215,1.0,0.572879
314.41998613,122.380145449,1.0,0.572879
386.519916782,148.943277794,0.0,0.572879
318.024982663,123.328828747,1.0,0.572879
321.629979196,124.277512045,1.0,0.572879
325.234975728,125.226195343,1.0,0.572879
325.234975728,126.174878641,1.0,0.572879
328.839972261,127.123561939,1.0,0.572879
332.444968793,128.072245237,1.0,0.572879
336.049965326,129.020928535,1.0,0.572879
339.654961859,129.969611833,1.0,0.572879
339.654961859,130.918295131,1.0,0.572879
343.259958391,131.866978429,1.0,0.572879
390.124913315,149.891961092,0.0,0.572879
346.864954924,132.815661727,1.0,0.572879
350.469951456,133.764345025,1.0,0.572879
350.469951456,134.713028323,1.0,0.572879
354.074947989,135.661711621,1.0,0.572879
357.679944521,136.610394919,1.0,0.572879
357.679944521,137.559078217,1.0,0.572879
361.284941054,138.507761515,1.0,0.572879
364.889937587,139.456444813,1.0,0.572879
368.494934119,140.405128111,1.0,0.572879
368.494934119,141.35381141,1.0,0.572879
390.124913315,150.84064439,0.0,0.572879
372.099930652,142.302494708,1.0,0.572879
375.704927184,143.251178006,1.0,0.572879
375.704927184,144.199861304,1.0,0.572879
379.309923717,145.148544602,1.0,0.572879
382.91492025,146.0972279,1.0,0.572879
386.519916782,147.045911198,1.0,0.572879
386.519916782,147.994594496,1.0,0.572879
390.124913315,148.943277794,1.0,0.572879
393.729909847,149.891961092,1.0,0.572879
393.729909847,150.84064439,1.0,0.572879
393.729909847,151.789327688,0.0,0.572879
397.33490638,151.789327688,1.0,0.572879
400.939902913,152.738010986,1.0,0.572879
404.544899445,153.686694284,1.0,0.572879
404.544899445,154.635377582,1.0,0.572879
408.149895978,155.58406088,1.0,0.572879
411.75489251,156.532744178,1.0,0.572879
411.75489251,157.481427476,1.0,0.572879
415.359889043,158.430110774,1.0,0.572879
418.964885576,159.378794072,1.0,0.572879
422.569882108,160.327477371,1.0,0.572879
397.33490638,152.738010986,0.0,0.572879
422.569882108,161.276160669,1.0,0.572879
426.174878641,162.224843967,1.0,0.572879
429.779875173,163.173527265,1.0,0.572879
433.384871706,164.122210563,1.0,0.572879
433.384871706,165.070893861,1.0,0.572879
436.989868238,166.019577159,1.0,0.572879
440.594864771,166.968260457,1.0,0.572879
444.199861304,167.916943755,1.0,0.572879
447.804857836,168.865627053,1.0,0.572879
447.804857836,169.814310351,1.0,0.572879
400.939902913,153.686694284,0.0,0.572879
451.409854369,170.762993649,1.0,0.572879
455.014850901,171.711676947,1.0,0.572879
458.619847434,172.660360245,1.0,0.572879
462.224843967,173.609043543,1.0,0.572879
462.224843967,174.557726841,1.0,0.572879
465.829840499,175.506410139,1.0,0.572879
469.434837032,176.455093437,1.0,0.572879
473.039833564,177.403776735,1.0,0.572879
476.644830097,178.352460033,1.0,0.572879
480.24982663,179.301143332,1.0,0.572879
307.209993065,120.482778852,0.0,0.572879
400.939902913,154.635377582,0.0,0.572879
483.854823162,180.24982663,1.0,0.572879
487.459819695,181.198509928,1.0,0.572879
491.064816227,182.147193226,1.0,0.572879
494.66981276,183.095876524,1.0,0.572879
498.274809293,184.044559822,1.0,0.572879
501.879805825,184.99324312,1.0,0.572879
505.484802358,185.941926418,1.0,0.572879
509.08979889,186.890609716,1.0,0.572879
512.694795423,187.839293014,1.0,0.572879
516.299791956,188.787976312,1.0,0.572879
404.544899445,155.58406088,0.0,0.572879
519.904788488,189.73665961,1.0,0.572879
523.509785021,190.685342908,1.0,0.572879
527.114781553,191.634026206,1.0,0.572879
530.719778086,191.634026206,1.0,0.572879
534.324774618,192.582709504,1.0,0.572879
537.929771151,193.531392802,1.0,0.572879
541.534767684,194.4800761,1.0,0.572879
545.139764216,195.428759398,1.0,0.572879
548.744760749,195.428759398,1.0,0.572879
552.349757281,196.377442696,1.0,0.572879
408.149895978,156.532744178,0.0,0.572879
555.954753814,197.326125995,1.0,0.572879
559.559750347,198.274809293,1.0,0.572879
563.164746879,198.274809293,1.0,0.572879
566.769743412,199.223492591,1.0,0.572879
570.374739944,200.172175889,1.0,0.572879
573.979736477,200.172175889,1.0,0.572879
577.58473301,201.120859187,1.0,0.572879
581.189729542,202.069542485,1.0,0.572879
584.794726075,202.069542485,1.0,0.572879
588.399722607,203.018225783,1.0,0.572879
408.149895978,157.481427476,0.0,0.572879
592.00471914,203.018225783,1.0,0.572879
595.609715673,203.966909081,1.0,0.572879
599.214712205,204.915592379,1.0,0.572879
602.819708738,204.915592379,1.0,0.572879
606.42470527,205.864275677,1.0,0.572879
610.029701803,205.864275677,1.0,0.572879
613.634698335,206.812958975,1.0,0.572879
617.239694868,206.812958975,1.0,0.572879
620.844691401,207.761642273,1.0,0.572879
624.449687933,207.761642273,1.0,0.572879
411.75489251,158.430110774,0.0,0.572879
628.054684466,208.710325571,1.0,0.572879
631.659680998,208.710325571,1.0,0.572879
635.264677531,209.659008869,1.0,0.572879
638.869674064,209.659008869,1.0,0.572879
642.474670596,210.607692167,1.0,0.572879
646.079667129,210.607692167,1.0,0.572879
649.684663661,211.556375465,1.0,0.572879
653.289660194,211.556375465,1.0,0.572879
656.894656727,212.505058763,1.0,0.572879
660.499653259,212.505058763,1.0,0.572879
415.359889043,159.378794072,0.0,0.572879
664.104649792,212.505058763,1.0,0.572879
667.709646324,213.453742061,1.0,0.572879
671.314642857,213.453742061,1.0,0.572879
674.91963939,214.402425359,1.0,0.572879
678.524635922,214.402425359,1.0,0.572879
682.129632455,214.402425359,1.0,0.572879
685.734628987,215.351108657,1.0,0.572879
689.33962552,215.351108657,1.0,0.572879
692.944622053,216.299791956,1.0,0.572879
696.549618585,216.299791956,1.0,0.572879
418.964885576,160.327477371,0.0,0.572879
700.154615118,216.299791956,1.0,0.572879
703.75961165,217.248475254,1.0,0.572879
707.364608183,217.248475254,1.0,0.572879
710.969604715,217.248475254,1.0,0.572879
714.574601248,218.197158552,1.0,0.572879
718.179597781,218.197158552,1.0,0.572879
721.784594313,218.197158552,1.0,0.572879
725.389590846,219.14584185,1.0,0.572879
728.994587378,219.14584185,1.0,0.572879
732.599583911,219.14584185,1.0,0.572879
418.964885576,161.276160669,0.0,0.572879
736.204580444,220.094525148,1.0,0.572879
739.809576976,220.094525148,1.0,0.572879
743.414573509,220.094525148,1.0,0.572879
747.019570041,221.043208446,1.0,0.572879
750.624566574,221.043208446,1.0,0.572879
754.229563107,221.043208446,1.0,0.572879
757.834559639,221.043208446,1.0,0.572879
761.439556172,221.991891744,1.0,0.572879
765.044552704,221.991891744,1.0,0.572879
768.649549237,221.991891744,1.0,0.572879
422.569882108,162.224843967,0.0,0.572879
772.25454577,222.940575042,1.0,0.572879
775.859542302,222.940575042,1.0,0.572879
779.464538835,222.940575042,1.0,0.572879
783.069535367,222.940575042,1.0,0.572879
786.6745319,223.88925834,1.0,0.572879
790.279528433,223.88925834,1.0,0.572879
793.884524965,223.88925834,1.0,0.572879
797.489521498,223.88925834,1.0,0.572879
801.09451803,224.837941638,1.0,0.572879
804.699514563,224.837941638,1.0,0.572879
426.174878641,163.173527265,0.0,0.572879
808.304511095,224.837941638,1.0,0.572879
811.909507628,224.837941638,1.0,0.572879
815.514504161,225.786624936,1.0,0.572879
819.119500693,225.786624936,1.0,0.572879
822.724497226,225.786624936,1.0,0.572879
826.329493758,225.786624936,1.0,0.572879
829.934490291,225.786624936,1.0,0.572879
833.539486824,226.735308234,1.0,0.572879
837.144483356,226.735308234,1.0,0.572879
840.749479889,226.735308234,1.0,0.572879
307.209993065,121.43146215,0.0,0.572879
429.779875173,164.122210563,0.0,0.572879
844.354476421,226.735308234,1.0,0.572879
847.959472954,226.735308234,1.0,0.572879
851.564469487,227.683991532,1.0,0.572879
855.169466019,227.683991532,1.0,0.572879
858.774462552,227.683991532,1.0,0.572879
862.379459084,227.683991532,1.0,0.572879
865.984455617,227.683991532,1.0,0.572879
869.58945215,228.63267483,1.0,0.572879
873.194448682,228.63267483,1.0,0.572879
876.799445215,228.63267483,1.0,0.572879
429.779875173,165.070893861,0.0,0.572879
880.404441747,228.63267483,1.0,0.572879
884.00943828,228.63267483,1.0,0.572879
887.614434812,229.581358128,1.0,0.572879
891.219431345,229.581358128,1.0,0.572879
894.824427878,229.581358128,1.0,0.572879
898.42942441,229.581358128,1.0,0.572879
902.034420943,229.581358128,1.0,0.572879
905.639417475,229.581358128,1.0,0.572879
909.244414008,230.530041426,1.0,0.572879
912.849410541,230.530041426,1.0,0.572879
433.384871706,166.019577159,0.0,0.572879
916.454407073,230.530041426,1.0,0.572879
920.059403606,230.530041426,1.0,0.572879
923.664400138,230.530041426,1.0,0.572879
927.269396671,230.530041426,1.0,0.572879
930.874393204,231.478724724,1.0,0.572879
934.479389736,231.478724724,1.0,0.572879
938.084386269,231.478724724,1.0,0.572879
941.689382801,231.478724724,1.0,0.572879
945.294379334,231.478724724,1.0,0.572879
948.899375867,231.478724724,1.0,0.572879
436.989868238,166.968260457,0.0,0.572879
952.504372399,232.427408022,1.0,0.572879
956.109368932,232.427408022,1.0,0.572879
959.714365464,232.427408022,1.0,0.572879
963.319361997,232.427408022,1.0,0.572879
966.92435853,232.427408022,1.0,0.572879
970.529355062,232.427408022,1.0,0.572879
974.134351595,232.427408022,1.0,0.572879
977.739348127,233.37609132,1.0,0.572879
981.34434466,233.37609132,1.0,0.572879
984.949341192,233.37609132,1.0,0.572879
440.594864771,167.916943755,0.0,0.572879
988.554337725,233.37609132,1.0,0.572879
992.159334258,233.37609132,1.0,0.572879
995.76433079,233.37609132,1.0,0.572879
999.369327323,233.37609132,1.0,0.572879
1002.97432386,234.324774618,1.0,0.572879
1006.57932039,234.324774618,1.0,0.572879
1010.18431692,234.324774618,1.0,0.572879
1013.78931345,234.324774618,1.0,0.572879
1017.39430999,234.324774618,1.0,0.572879
1020.99930652,234.324774618,1.0,0.572879
444.199861304,168.865627053,0.0,0.572879
1024.60430305,234.324774618,1.0,0.572879
1028.20929958,234.324774618,1.0,0.572879
1031.81429612,235.273457917,1.0,0.572879
1035.41929265,235.273457917,1.0,0.572879
1039.02428918,235.273457917,1.0,0.572879
1042.62928571,235.273457917,1.0,0.572879
1046.23428225,235.273457917,1.0,0.572879
1049.83927878,235.273457917,1.0,0.572879
1053.44427531,235.273457917,1.0,0.572879
1057.04927184,235.273457917,1.0,0.572879
444.199861304,169.814310351,0.0,0.572879
1060.65426838,235.273457917,1.0,0.572879
1064.25926491,236.222141215,1.0,0.572879
1067.86426144,236.222141215,1.0,0.572879
1071.46925797,236.222141215,1.0,0.572879
1075.07425451,236.222141215,1.0,0.572879
1078.67925104,236.222141215,1.0,0.572879
1082.28424757,236.222141215,1.0,0.572879
1085.88924411,236.222141215,1.0,0.572879
1089.49424064,236.222141215,1.0,0.572879
1093.09923717,236.222141215,1.0,0.572879
447.804857836,170.762993649,0.0,0.572879
1096.7042337,237.170824513,1.0,0.572879
1100.30923024,237.170824513,1.0,0.572879
1103.91422677,237.170824513,1.0,0.572879
1107.5192233,237.170824513,1.0,0.572879
1111.12421983,237.170824513,1.0,0.572879
1114.72921637,237.170824513,1.0,0.572879
1118.3342129,237.170824513,1.0,0.572879
1121.93920943,237.170824513,1.0,0.572879
1125.54420596,237.170824513,1.0,0.572879
1129.1492025,237.170824513,1.0,0.572879
451.409854369,171.711676947,0.0,0.572879
1132.75419903,237.170824513,1.0,0.572879
1136.35919556,238.119507811,1.0,0.572879
1139.96419209,238.119507811,1.0,0.572879
1143.56918863,238.119507811,1.0,0.572879
1147.17418516,238.119507811,1.0,0.572879
1150.77918169,238.119507811,1.0,0.572879
1154.38417822,238.119507811,1.0,0.572879
1157.98917476,238.119507811,1.0,0.572879
1161.59417129,238.119507811,1.0,0.572879
1165.19916782,238.119507811,1.0,0.572879
455.014850901,172.660360245,0.0,0.572879
1168.80416435,238.119507811,1.0,0.572879
1172.40916089,238.119507811,1.0,0.572879
1176.01415742,238.119507811,1.0,0.572879
1179.61915395,239.068191109,1.0,0.572879
1183.22415049,239.068191109,1.0,0.572879
1186.82914702,239.068191109,1.0,0.572879
1190.43414355,239.068191109,1.0,0.572879
1194.03914008,239.068191109,1.0,0.572879
1197.64413662,239.068191109,1.0,0.572879
1201.24913315,239.068191109,1.0,0.572879
310.814989598,122.380145449,0.0,0.572879
458.619847434,173.609043543,0.0,0.572879
1204.85412968,239.068191109,1.0,0.572879
1208.45912621,239.068191109,1.0,0.572879
1212.06412275,239.068191109,1.0,0.572879
1215.66911928,239.068191109,1.0,0.572879
1219.27411581,239.068191109,1.0,0.572879
1222.87911234,239.068191109,1.0,0.572879
1226.48410888,239.068191109,1.0,0.572879
1230.08910541,240.016874407,1.0,0.572879
1233.69410194,240.016874407,1.0,0.572879
1237.29909847,240.016874407,1.0,0.572879
458.619847434,174.557726841,0.0,0.572879
1240.90409501,240.016874407,1.0,0.572879
1244.50909154,240.016874407,1.0,0.572879
1248.11408807,240.016874407,1.0,0.572879
1251.7190846,240.016874407,1.0,0.572879
1255.32408114,240.016874407,1.0,0.572879
1258.92907767,240.016874407,1.0,0.572879
1262.5340742,240.016874407,1.0,0.572879
1266.13907073,240.016874407,1.0,0.572879
1269.74406727,240.016874407,1.0,0.572879
1273.3490638,240.016874407,1.0,0.572879
462.224843967,175.506410139,0.0,0.572879
1276.95406033,240.016874407,1.0,0.572879
1280.55905687,240.016874407,1.0,0.572879
1284.1640534,240.016874407,1.0,0.572879
1287.76904993,240.016874407,1.0,0.572879
1291.37404646,240.016874407,1.0,0.572879
1294.979043,240.965557705,1.0,0.572879
1298.58403953,240.965557705,1.0,0.572879
1302.18903606,240.965557705,1.0,0.572879
1305.79403259,240.965557705,1.0,0.572879
1309.39902913,240.965557705,1.0,0.572879
465.829840499,176.455093437,0.0,0.572879
1313.00402566,240.965557705,1.0,0.572879
1316.60902219,240.965557705,1.0,0.572879
1320.21401872,240.965557705,1.0,0.572879
1323.81901526,240.965557705,1.0,0.572879
1327.42401179,240.965557705,1.0,0.572879
1331.02900832,240.965557705,1.0,0.572879
1334.63400485,240.965557705,1.0,0.572879
1338.23900139,240.965557705,1.0,0.572879
1341.84399792,240.965557705,1.0,0.572879
1345.44899445,240.965557705,1.0,0.572879
469.434837032,177.403776735,0.0,0.572879
1349.05399098,240.965557705,1.0,0.572879
1352.65898752,240.965557705,1.0,0.572879
1356.26398405,240.965557705,1.0,0.572879
1359.86898058,240.965557705,1.0,0.572879
1363.47397711,240.965557705,1.0,0.572879
1367.07897365,240.965557705,1.0,0.572879
1370.68397018,240.965557705,1.0,0.572879
1374.28896671,240.965557705,1.0,0.572879
1377.89396324,240.965557705,1.0,0.572879
1381.49895978,240.965557705,1.0,0.572879
473.039833564,178.352460033,0.0,0.572879
1385.10395631,240.965557705,1.0,0.572879
1388.70895284,240.965557705,1.0,0.572879
1392.31394938,240.965557705,1.0,0.572879
1395.91894591,240.965557705,1.0,0.572879
1399.52394244,240.965557705,1.0,0.572879
1403.12893897,240.965557705,1.0,0.572879
1406.73393551,240.965557705,1.0,0.572879
1410.33893204,240.965557705,1.0,0.572879
1413.94392857,240.965557705,1.0,0.572879
1417.5489251,240.965557705,1.0,0.572879
476.644830097,179.301143332,0.0,0.572879
1421.15392164,240.965557705,1.0,0.572879
1424.75891817,240.965557705,1.0,0.572879
1428.3639147,240.965557705,1.0,0.572879
1431.96891123,240.965557705,1.0,0.572879
1435.57390777,240.965557705,1.0,0.572879
1439.1789043,240.965557705,1.0,0.572879
480.24982663,180.24982663,0.0,0.572879
483.854823162,181.198509928,0.0,0.572879
487.459819695,182.147193226,0.0,0.572879
314.41998613,123.328828747,0.0,0.572879
491.064816227,183.095876524,0.0,0.572879
494.66981276,184.044559822,0.0,0.572879
498.274809293,184.99324312,0.0,0.572879
501.879805825,185.941926418,0.0,0.572879
505.484802358,186.890609716,0.0,0.572879
509.08979889,187.839293014,0.0,0.572879
512.694795423,188.787976312,0.0,0.572879
516.299791956,189.73665961,0.0,0.572879
519.904788488,190.685342908,0.0,0.572879
523.509785021,191.634026206,0.0,0.572879
318.024982663,124.277512045,0.0,0.572879
527.114781553,192.582709504,0.0,0.572879
530.719778086,192.582709504,0.0,0.572879
534.324774618,193.531392802,0.0,0.572879
537.929771151,194.4800761,0.0,0.572879
541.534767684,195.428759398,0.0,0.572879
545.139764216,196.377442696,0.0,0.572879
548.744760749,196.377442696,0.0,0.572879
552.349757281,197.326125995,0.0,0.572879
555.954753814,198.274809293,0.0,0.572879
559.559750347,199.223492591,0.0,0.572879
