v0,y0,angle,r,t,ProbabilityWeight-v0,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-angle,ProbabilityWeight-y0
28.4007380606,0.796542984386,81.0571449427,25.4025872284,5.75386352028,1.0,1.0,1,0.000947621069794,1.0,1.0
25.4882368913,0.731993938501,67.3752798099,47.3814470032,4.83229632691,1.0,1.0,2,0.000663804285294,1.0,1.0
31.2493814102,0.59685016158,17.4814910843,58.9375056627,1.97736396524,1.0,1.0,3,0.000966700187852,1.0,1.0
29.3190148185,0.155994523819,12.9979936425,39.1104133126,1.36903827135,1.0,1.0,4,0.000988148179354,1.0,1.0
22.1446680453,0.459248887948,74.2940919076,26.2083349141,4.3720232207,1.0,1.0,5,0.000290319685489,1.0,1.0
27.8515229761,0.601115011517,16.4293451448,44.8964154789,1.68061206305,1.0,1.0,6,0.000909403064792,1.0,1.0
32.7388135791,0.650888473413,6.64675990158,29.8538022749,0.918048492813,1.0,1.0,7,0.000858413128656,1.0,1.0
22.0718476283,0.969909847241,62.759901727,40.9537147681,4.05372670586,1.0,1.0,8,0.000283722169061,1.0,1.0
34.8193138905,0.938552714404,21.9871289509,88.1628720812,2.73061364268,1.0,1.0,9,0.000626777588515,1.0,1.0
14.1812788311,0.181824967075,84.3769251554,4.01997572167,2.89303835352,1.0,1.0,10,6.68902881256e-06,1.0,1.0
25.4876667059,0.617481507505,29.3393792827,57.7055331118,2.59719186278,1.0,1.0,11,0.000663735977932,1.0,1.0
31.4181517655,0.524756436591,5.56530468179,23.8374609928,0.76230950047,1.0,1.0,12,0.000958035078182,1.0,1.0
29.1428778401,0.0230624284649,28.2983312065,72.3912962928,2.82116779091,1.0,1.0,13,0.000982808524224,1.0,1.0
30.3107042005,0.611852897939,36.9888782203,90.912236482,3.75503669954,1.0,1.0,14,0.0009954319265,1.0,1.0
31.5062230874,0.199673783546,35.5969592069,96.1607731554,3.75353728963,1.0,1.0,18,0.000953112859533,1.0,1.0
24.5870194004,0.0466656682656,28.3715718108,51.6692556471,2.38836488415,1.0,1.0,15,0.000555073369622,1.0,1.0
39.6955084693,0.366361845137,23.6217072277,118.890368339,3.26896151746,1.0,1.0,16,0.000152177833221,1.0,1.0
29.4483015636,0.090606435456,67.8140768182,61.9190960544,5.56822879734,1.0,1.0,17,0.000991302820868,1.0,1.0
30.1784400874,0.983230886046,52.3931658192,90.6060482635,4.91994185527,1.0,1.0,19,0.00099672077412,1.0,1.0
29.5829516503,0.0464504067894,73.7952322673,47.875978965,5.79911116489,1.0,1.0,20,0.000993892344476,1.0,1.0
31.3646287226,0.680307538873,18.6419300022,62.7614355053,2.11182330055,1.0,1.0,21,0.000960893183074,1.0,1.0
29.3779995978,0.0650515942986,6.06119664411,19.087930043,0.653388173718,1.0,1.0,22,0.000989668255925,1.0,1.0
38.170712345,0.942201754298,82.2505628311,39.8563387417,7.74362900971,1.0,1.0,23,0.000262406985286,1.0,1.0
30.7965568179,0.808397349391,35.8333204945,92.9723091175,3.72373436917,1.0,1.0,24,0.000984779173473,1.0,1.0
27.4441180253,0.015966257317,12.8137693572,33.3113369371,1.24478794223,1.0,1.0,25,0.000875203848191,1.0,1.0
29.2470869925,0.683263524362,14.763058538,45.4687089529,1.607714662,1.0,1.0,27,0.000986111983828,1.0,1.0
26.3204678697,0.684233029299,24.2820375271,54.4720048995,2.27042792548,1.0,1.0,26,0.000760767922884,1.0,1.0
31.3965516136,0.495176910538,71.6555930643,60.2607603658,6.09841511553,1.0,1.0,28,0.000959200719449,1.0,1.0
20.9005924909,0.173364647239,77.7456321923,18.5287040391,4.17670989162,1.0,1.0,29,0.000190399242073,1.0,1.0
28.6172210937,0.258779981001,19.5788869482,53.4861482859,1.98371612293,1.0,1.0,30,0.000959935343697,1.0,1.0
